pattern,pred_ppf,sigma_ppf,entropy_ppf,cycle,priority,mode
"[2, 7, 6, 6, 8, 9, 2, 1, 7, 9, 3, 4, 9, 6, 5, 6, 8, 6, 6, 6, 3, 8, 8, 2, 4, 7, 7, 8, 6, 1, 1]",2.086757183074951,0.09464744478464127,-0.9386580586433411,326.98492431640625,-147.08318230347325,mc
"[7, 2, 8, 8, 2, 4, 9, 4, 1, 9, 7, 3, 9, 5, 7, 2, 9, 8, 3, 5, 5, 3, 3, 2, 7, 4, 2, 7, 5, 5, 3]",2.024845600128174,0.09670460969209671,-0.9171555638313293,325.8861389160156,-147.61033525374881,mc
"[1, 7, 1, 8, 1, 8, 6, 6, 7, 3, 1, 4, 9, 3, 3, 4, 1, 9, 7, 6, 6, 5, 1, 4, 8, 5, 9, 8, 6, 2, 1]",2.0153818130493164,0.0895419716835022,-0.9941093325614929,299.3707580566406,-147.66785870810773,mc
"[6, 4, 6, 9, 3, 1, 3, 5, 3, 7, 4, 8, 9, 8, 9, 4, 1, 7, 7, 6, 8, 8, 6, 4, 9, 3, 7, 8, 6, 5, 1]",1.9330294132232666,0.0966460108757019,-0.9177618622779846,311.7839050292969,-148.02838866402254,mc
"[1, 9, 1, 8, 1, 4, 5, 2, 7, 9, 1, 4, 4, 2, 4, 4, 1, 1, 4, 8, 7, 2, 9, 8, 9, 5, 7, 8, 6, 9, 9]",1.8691489696502686,0.09672161936759949,-0.9169799089431763,301.98590087890625,-148.15023320032225,mc
"[1, 3, 1, 1, 1, 7, 2, 8, 7, 2, 4, 4, 9, 1, 7, 3, 7, 9, 1, 6, 6, 8, 8, 7, 2, 7, 4, 3, 6, 2, 1]",1.982478141784668,0.09415508061647415,-0.9438735246658325,311.8175964355469,-148.4587492484275,mc
"[1, 6, 7, 7, 3, 7, 8, 5, 4, 3, 7, 7, 1, 1, 2, 7, 7, 1, 6, 5, 5, 6, 7, 4, 2, 8, 5, 1, 2, 2, 7]",2.029294967651367,0.09074513614177704,-0.980761706829071,307.20355224609375,-148.47192575538335,mc
"[6, 7, 9, 4, 3, 3, 3, 5, 1, 4, 3, 9, 8, 4, 9, 5, 4, 1, 8, 8, 5, 9, 7, 7, 2, 1, 4, 6, 2, 9, 1]",1.9821438789367676,0.09704720228910446,-0.9136192798614502,323.08551025390625,-148.91805051615475,mc
"[1, 1, 1, 8, 7, 8, 3, 8, 7, 8, 9, 7, 9, 1, 5, 9, 9, 9, 7, 7, 7, 8, 8, 6, 6, 1, 7, 7, 4, 1, 4]",2.010444402694702,0.0962032750248909,-0.9223535060882568,326.41339111328125,-149.7521570712415,mc
"[8, 4, 1, 8, 1, 3, 9, 1, 7, 2, 4, 3, 8, 7, 1, 3, 7, 6, 4, 1, 1, 9, 8, 7, 9, 7, 7, 7, 6, 2, 4]",2.049320936203003,0.09323594719171524,-0.9536834359169006,321.8602600097656,-149.78261503409485,mc
"[1, 3, 1, 1, 2, 8, 6, 8, 7, 8, 9, 4, 9, 1, 5, 3, 8, 6, 7, 2, 1, 8, 8, 7, 6, 1, 3, 7, 5, 1, 1]",2.024932384490967,0.09489148110151291,-0.9360828399658203,324.58673095703125,-150.0494145914136,mc
"[5, 3, 3, 4, 1, 6, 2, 1, 1, 2, 7, 4, 9, 2, 1, 3, 1, 8, 7, 5, 9, 3, 3, 4, 5, 7, 4, 1, 6, 1, 9]",2.055229663848877,0.08917201310396194,-0.9982494711875916,309.1004333496094,-150.1336806435424,mc
"[3, 2, 4, 8, 7, 5, 8, 2, 6, 4, 7, 7, 6, 3, 5, 3, 4, 1, 1, 6, 6, 6, 4, 5, 6, 4, 1, 3, 8, 6, 1]",2.053093433380127,0.08988302201032639,-0.990307629108429,311.4012756347656,-150.20403054110687,mc
"[1, 1, 1, 7, 1, 6, 6, 6, 9, 4, 4, 4, 6, 4, 5, 1, 1, 4, 8, 6, 5, 8, 8, 7, 9, 5, 7, 5, 4, 5, 7]",2.0256192684173584,0.09128296375274658,-0.974852442741394,312.6054992675781,-150.44489795389535,mc
"[8, 4, 5, 7, 1, 1, 6, 3, 7, 8, 9, 4, 4, 6, 4, 9, 3, 9, 2, 6, 6, 7, 8, 5, 9, 5, 7, 2, 6, 2, 1]",2.066925525665283,0.09002744406461716,-0.988702118396759,315.3537292480469,-150.84759728046237,mc
"[1, 1, 1, 8, 7, 9, 4, 1, 7, 4, 7, 9, 9, 3, 5, 6, 1, 8, 7, 6, 3, 3, 3, 1, 9, 5, 7, 6, 6, 5, 5]",2.0074262619018555,0.09236310422420502,-0.963089108467102,314.6562805175781,-150.96040709845886,mc
"[1, 3, 8, 1, 3, 8, 1, 5, 4, 8, 9, 4, 9, 1, 5, 8, 1, 6, 7, 6, 6, 8, 8, 4, 6, 1, 7, 5, 4, 2, 3]",1.9680593013763428,0.09239763766527176,-0.9627154469490051,308.9078674316406,-151.10836565959846,mc
"[7, 2, 8, 8, 7, 3, 2, 7, 9, 8, 3, 4, 6, 2, 4, 3, 1, 6, 9, 8, 5, 7, 9, 4, 1, 7, 9, 1, 5, 6, 2]",2.032015085220337,0.0891900509595871,-0.9980471730232239,308.12091064453125,-151.33699287856308,mc
"[1, 3, 1, 7, 1, 8, 6, 1, 7, 9, 4, 8, 9, 1, 5, 7, 3, 3, 7, 6, 6, 5, 8, 4, 9, 7, 4, 8, 6, 4, 1]",1.981086254119873,0.09429964423179626,-0.9423393607139587,319.6750793457031,-152.05913282231745,mc
"[4, 9, 1, 1, 4, 8, 5, 6, 7, 8, 8, 4, 9, 1, 5, 9, 8, 6, 4, 6, 6, 8, 8, 6, 7, 1, 7, 8, 4, 1, 9]",2.0031471252441406,0.09057988971471786,-0.9825844764709473,310.351318359375,-152.2335686658461,mc
"[7, 1, 9, 4, 1, 8, 3, 2, 1, 3, 3, 4, 1, 9, 1, 3, 1, 9, 3, 3, 5, 6, 7, 4, 2, 1, 4, 2, 3, 5, 7]",1.961274266242981,0.09205659478902817,-0.9664133787155151,309.3927307128906,-152.45247792831805,mc
