pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,h_primary,cycle,priority,entropy_mode
"[4, 1, 6, 4, 2, 4, 1, 4, 1, 7, 9, 1, 1, 9, 6, 1, 8, 8, 8, 6, 3, 1, 1, 1, 1, 1, 1, 6, 2, 1, 1]",1.9263317584991455,0.07631774246692657,-1.1539111137390137,2.231414794921875,0.0,2.231414794921875,329.82672119140625,382.0628716299758,combined
"[1, 1, 7, 9, 4, 7, 1, 3, 1, 8, 9, 1, 1, 2, 5, 1, 3, 3, 5, 9, 7, 1, 1, 1, 6, 2, 1, 7, 1, 1, 1]",1.9015023708343506,0.0512191466987133,-1.5527029037475586,2.204953908920288,0.0,2.204953908920288,329.1148681640625,381.6365125472885,combined
"[2, 1, 9, 4, 2, 8, 1, 4, 1, 7, 9, 1, 7, 6, 5, 1, 6, 1, 8, 6, 4, 1, 1, 1, 2, 2, 1, 6, 2, 1, 1]",1.9532339572906494,0.07163632661104202,-1.217214822769165,2.24885630607605,0.0,2.24885630607605,330.5935974121094,380.6288094084933,combined
"[3, 1, 5, 4, 9, 7, 1, 6, 1, 3, 7, 1, 6, 6, 6, 1, 8, 6, 2, 7, 8, 1, 1, 1, 5, 3, 1, 7, 2, 1, 1]",1.9139279127120972,0.05945616960525513,-1.4035773277282715,2.222395420074463,0.0,2.222395420074463,327.5029296875,380.28633465131963,combined
"[4, 1, 3, 6, 4, 3, 1, 1, 1, 3, 9, 1, 9, 3, 6, 1, 9, 6, 7, 1, 3, 1, 1, 1, 7, 3, 1, 6, 4, 1, 1]",1.9153817892074585,0.05378080531954765,-1.503900408744812,2.213973045349121,0.0,2.213973045349121,328.8262939453125,380.0872366083041,combined
"[8, 1, 3, 4, 1, 8, 1, 5, 1, 8, 9, 1, 4, 3, 2, 1, 1, 4, 5, 8, 5, 1, 1, 1, 7, 8, 1, 7, 6, 1, 1]",1.8117849826812744,0.07536960393190384,-1.1664128303527832,2.1761856079101562,0.0,2.1761856079101562,315.9551086425781,379.50230697563876,combined
"[9, 1, 3, 4, 1, 4, 1, 4, 1, 8, 8, 1, 7, 7, 6, 1, 4, 4, 8, 5, 4, 1, 1, 1, 5, 9, 1, 6, 1, 1, 1]",1.8268194198608398,0.07380577176809311,-1.1873799562454224,2.0985302925109863,0.0,2.0985302925109863,330.0187072753906,379.10363097730163,combined
"[4, 1, 6, 8, 1, 8, 1, 1, 1, 9, 9, 1, 8, 7, 7, 1, 3, 6, 5, 6, 3, 1, 1, 1, 3, 4, 1, 7, 2, 1, 1]",1.9359149932861328,0.0584966242313385,-1.4198477268218994,2.2016797065734863,0.0,2.2016797065734863,333.2552490234375,379.0047302819872,combined
"[2, 1, 9, 3, 7, 3, 1, 1, 1, 4, 9, 1, 9, 2, 3, 1, 4, 3, 9, 6, 7, 1, 1, 1, 6, 9, 1, 9, 1, 1, 1]",1.9128530025482178,0.08697785437107086,-1.023163080215454,2.199742317199707,0.0,2.199742317199707,329.4360656738281,378.84462353589083,combined
"[8, 1, 4, 4, 4, 8, 1, 7, 1, 7, 9, 1, 3, 7, 8, 1, 8, 9, 8, 2, 2, 1, 1, 1, 1, 6, 1, 6, 8, 1, 1]",1.9129432439804077,0.06236020103096962,-1.3558895587921143,2.220088005065918,0.0,2.220088005065918,326.205078125,378.58080987765607,combined
