seed,gen,best_ppf,sigma,h_sens_pop,div,stag,n_al
42,81,1.8016407489776611,0.07108209282159805,1.7104378455812674,1.0,0,50
42,82,1.8016407489776611,0.07108209282159805,1.6876701227366284,1.0,1,50
42,83,1.8016407489776611,0.07108209282159805,1.6644884164704625,1.0,2,50
42,84,1.8016407489776611,0.07108209282159805,1.6663362121527197,1.0,3,50
42,85,1.8016407489776611,0.07108209282159805,1.6663814500527185,1.0,4,50
42,86,1.8016407489776611,0.07108209282159805,1.6511995921551517,1.0,5,50
42,87,1.8016407489776611,0.07108209282159805,1.6883922487712968,1.0,6,50
42,88,1.8016407489776611,0.07108209282159805,1.6789714175253352,1.0,7,50
42,89,1.8016407489776611,0.07108209282159805,1.6976298889451058,1.0,8,50
42,90,1.8016407489776611,0.07108209282159805,1.675655939368741,1.0,9,50
42,91,1.8016407489776611,0.07108209282159805,1.678344906290353,1.0,10,50
42,92,1.8016407489776611,0.07108209282159805,1.6782026178099396,1.0,11,50
42,93,1.8016407489776611,0.07108209282159805,1.6729563498968973,1.0,12,50
42,94,1.8016407489776611,0.07108209282159805,1.6792225051392393,1.0,13,50
42,95,1.8016407489776611,0.07108209282159805,1.7093027269810632,1.0,14,50
42,96,1.8016407489776611,0.07108209282159805,1.7177178309063368,1.0,15,50
42,97,1.8016407489776611,0.07108209282159805,1.7312502604456028,1.0,16,50
42,98,1.8016407489776611,0.07108209282159805,1.7529623190208108,1.0,17,50
42,99,1.8016407489776611,0.07108209282159805,1.7366634910729746,1.0,18,50
42,100,1.8016407489776611,0.07108209282159805,1.702007428071255,1.0,19,50
42,101,1.8016407489776611,0.07108209282159805,1.7084439286853363,1.0,0,50
42,102,1.8016407489776611,0.07108209282159805,1.6925398798679063,1.0,1,50
42,103,1.8016407489776611,0.07108209282159805,1.692911159225536,1.0,2,50
42,104,1.8016407489776611,0.07108209282159805,1.6691322517725915,1.0,3,50
42,105,1.8016407489776611,0.07108209282159805,1.6890779074077518,1.0,4,50
42,106,1.8016407489776611,0.07108209282159805,1.7071561215981368,1.0,5,50
42,107,1.8016407489776611,0.07108209282159805,1.7059891957104618,1.0,6,50
42,108,1.8016407489776611,0.07108209282159805,1.7045699950344848,1.0,7,50
42,109,1.8016407489776611,0.07108209282159805,1.696522591519451,1.0,8,50
