arm,seed,gen,best_ppf,sigma,h_hist_pop,div,stag,n_al
A_baseline,42,128,1.7823076248168945,0.06448734551668167,1.677933928407193,1.0,5,50
A_baseline,42,129,1.7823076248168945,0.06448734551668167,1.6781628144943477,1.0,6,50
A_baseline,42,130,1.7823076248168945,0.06448734551668167,1.667955239436969,1.0,7,50
A_baseline,42,131,1.7823076248168945,0.06448734551668167,1.6519153725946734,1.0,8,50
A_baseline,42,132,1.7823076248168945,0.06448734551668167,1.6451661670672328,1.0,9,50
A_baseline,42,133,1.7823076248168945,0.06448734551668167,1.6773562814292344,1.0,10,50
A_baseline,42,134,1.7823076248168945,0.06448734551668167,1.6846859163713992,1.0,11,50
A_baseline,42,135,1.7823076248168945,0.06448734551668167,1.6676683090480986,1.0,12,50
A_baseline,42,136,1.7823076248168945,0.06448734551668167,1.6811029689822252,1.0,13,50
A_baseline,42,137,1.7823076248168945,0.06448734551668167,1.6661565648365886,1.0,14,50
A_baseline,42,138,1.7823076248168945,0.06448734551668167,1.66346359469988,1.0,15,50
A_baseline,42,139,1.7823076248168945,0.06448734551668167,1.6596926409393047,1.0,16,50
A_baseline,42,140,1.7823076248168945,0.06448734551668167,1.6425779111329086,1.0,17,50
A_baseline,42,141,1.7823076248168945,0.06448734551668167,1.6301104108746705,1.0,18,50
A_baseline,42,142,1.7823076248168945,0.06448734551668167,1.631329488141606,1.0,19,50
A_baseline,42,143,1.7823076248168945,0.06448734551668167,1.6836170014570913,1.0,0,50
A_baseline,42,144,1.7823076248168945,0.06448734551668167,1.6653725413958427,1.0,1,50
A_baseline,42,145,1.7823076248168945,0.06448734551668167,1.647317689012305,1.0,2,50
A_baseline,42,146,1.7823076248168945,0.06448734551668167,1.6133834817582222,1.0,3,50
A_baseline,42,147,1.7823076248168945,0.06448734551668167,1.6057612842622642,1.0,4,50
A_baseline,42,148,1.7823076248168945,0.06448734551668167,1.6109203679610813,1.0,5,50
A_baseline,42,149,1.7823076248168945,0.06448734551668167,1.617044660644905,1.0,6,50
A_baseline,42,150,1.7823076248168945,0.06448734551668167,1.611409743476544,1.0,7,50
A_baseline,42,151,1.7823076248168945,0.06448734551668167,1.6083177581799073,1.0,8,50
A_baseline,42,152,1.7823076248168945,0.06448734551668167,1.610991572197797,1.0,9,50
A_baseline,42,153,1.7823076248168945,0.06448734551668167,1.6057185181462685,1.0,10,50
A_baseline,42,154,1.7823076248168945,0.06448734551668167,1.5897533087895248,1.0,11,50
A_baseline,42,155,1.7823076248168945,0.06448734551668167,1.626567276588878,1.0,12,50
A_baseline,42,156,1.7823076248168945,0.06448734551668167,1.6206177825455705,1.0,13,50
A_baseline,42,157,1.7823076248168945,0.06448734551668167,1.6360685492568796,1.0,14,50
A_baseline,42,158,1.7823076248168945,0.06448734551668167,1.6038955272124253,1.0,15,50
A_baseline,42,159,1.7823076248168945,0.06448734551668167,1.6296069263854043,1.0,16,50
A_baseline,42,160,1.7823076248168945,0.06448734551668167,1.6297447026753824,1.0,17,50
A_baseline,42,161,1.7823076248168945,0.06448734551668167,1.612578238227932,1.0,18,50
A_baseline,42,162,1.7823076248168945,0.06448734551668167,1.651455709172757,1.0,19,50
A_baseline,42,163,1.7823076248168945,0.06448734551668167,1.6473321946404471,1.0,0,50
A_baseline,42,164,1.7823076248168945,0.06448734551668167,1.6703490033948862,1.0,1,50
A_baseline,42,165,1.7823076248168945,0.06448734551668167,1.6622534573159748,1.0,2,50
A_baseline,42,166,1.7823076248168945,0.06448734551668167,1.6460943696704868,1.0,3,50
A_baseline,42,167,1.7823076248168945,0.06448734551668167,1.6545459409269248,1.0,4,50
A_baseline,42,168,1.7823076248168945,0.06448734551668167,1.6620165733364445,1.0,5,50
A_baseline,42,169,1.7823076248168945,0.06448734551668167,1.6596798328755853,1.0,6,50
A_baseline,42,170,1.7823076248168945,0.06448734551668167,1.6841851810974848,1.0,7,50
A_baseline,42,171,1.7823076248168945,0.06448734551668167,1.6596554418077094,1.0,8,50
A_baseline,42,172,1.7823076248168945,0.06448734551668167,1.6558323535132307,1.0,9,50
A_baseline,42,173,1.7823076248168945,0.06448734551668167,1.6437496289257363,1.0,10,50
A_baseline,42,174,1.7823076248168945,0.06448734551668167,1.6420813564821237,1.0,11,50
A_baseline,42,175,1.7823076248168945,0.06448734551668167,1.622052468426664,1.0,12,50
A_baseline,42,176,1.7823076248168945,0.06448734551668167,1.6168666253047526,1.0,13,50
A_baseline,42,177,1.7823076248168945,0.06448734551668167,1.6179686181028565,1.0,14,50
A_baseline,42,178,1.7823076248168945,0.06448734551668167,1.6476714830996526,1.0,15,50
A_baseline,42,179,1.7823076248168945,0.06448734551668167,1.6216228322050907,1.0,16,50
A_baseline,42,180,1.7823076248168945,0.06448734551668167,1.6288843979172305,1.0,17,50
A_baseline,42,181,1.7823076248168945,0.06448734551668167,1.6246752815443661,1.0,18,50
A_baseline,42,182,1.7823076248168945,0.06448734551668167,1.5953002860374512,1.0,19,50
A_baseline,42,183,1.7823076248168945,0.06448734551668167,1.6342272960828388,1.0,0,50
A_baseline,42,184,1.7823076248168945,0.06448734551668167,1.6442022584790554,1.0,1,50
A_baseline,42,185,1.7823076248168945,0.06448734551668167,1.6552711678686924,1.0,2,50
A_baseline,42,186,1.7823076248168945,0.06448734551668167,1.6462559925341547,1.0,3,50
A_baseline,42,187,1.7823076248168945,0.06448734551668167,1.6343819900367758,1.0,4,50
A_baseline,42,188,1.7823076248168945,0.06448734551668167,1.6218441384681892,1.0,5,50
A_baseline,42,189,1.7823076248168945,0.06448734551668167,1.5954350707950733,1.0,6,50
A_baseline,42,190,1.7823076248168945,0.06448734551668167,1.6138274363216158,1.0,7,50
