seed,gen,best_ppf,best_cycle,best_fit,stag,H_mean,H_sens
42,46,1.5632254,310.14066,-1.5632254,0,0.25380753821669816,0.23843241584295397
42,47,1.5610236,311.96063,-1.5610236,0,0.28522359823384325,0.267443549276744
42,48,1.5610236,311.96063,-1.5610236,1,0.2755080617806428,0.2502371595698932
42,49,1.5606208,310.22134,-1.5606208,0,0.2612052311203637,0.2396012585333395
42,50,1.5603033,310.65457,-1.5603033,0,0.23182676284525414,0.21843058801318185
42,51,1.559041,311.92456,-1.559041,0,0.23315690655186685,0.21187995006219573
42,52,1.557553,312.00323,-1.557553,0,0.23390010960883031,0.21302925622121566
42,53,1.557553,312.00323,-1.557553,1,0.24573171818782982,0.23080844498899047
42,54,1.5574462,314.0829,-1.5574462,0,0.20477374236493856,0.1844351139929691
42,55,1.5574462,314.0829,-1.5574462,1,0.21964874750032123,0.19770101837581552
42,56,1.5574462,314.0829,-1.5574462,2,0.1754805455102477,0.15289794944326238
42,57,1.5574462,314.0829,-1.5574462,3,0.20237805575198278,0.17922853314704504
42,58,1.5574462,314.0829,-1.5574462,4,0.17476931049529357,0.1580946814440683
42,59,1.5574462,314.0829,-1.5574462,5,0.1903562762880222,0.171514074599615
42,60,1.557034,312.6131,-1.557034,0,0.17786492039703192,0.16294446548211772
42,61,1.557034,312.6131,-1.557034,1,0.16980028860627355,0.15280593442982646
42,62,1.557034,312.6131,-1.557034,2,0.15886657095005652,0.14286773565290367
42,63,1.557034,312.6131,-1.557034,3,0.16036626043753321,0.15115440024878082
42,64,1.557034,312.6131,-1.557034,4,0.2004008120810713,0.18587223327102181
42,65,1.557034,312.6131,-1.557034,5,0.185576046189058,0.1639090148044321
42,66,1.557034,312.6131,-1.557034,6,0.1517227426562078,0.1420252784502468
42,67,1.557034,312.6131,-1.557034,7,0.12978678244281205,0.11621232912710977
42,68,1.557034,312.6131,-1.557034,8,0.13733688219359413,0.12388042204924156
42,69,1.557034,312.6131,-1.557034,9,0.13470389719116696,0.12594337857554685
42,70,1.557034,312.6131,-1.557034,10,0.13793738651511847,0.13485436226542408
42,71,1.557034,312.6131,-1.557034,11,0.11701244282299923,0.1114344057801539
42,72,1.557034,312.6131,-1.557034,12,0.15316482261002032,0.1464514341972659
42,73,1.5563974,312.0287,-1.5563974,0,0.12984588515783624,0.12113457245776844
42,74,1.5563974,312.0287,-1.5563974,1,0.12051993120320331,0.11102723106515283
42,75,1.5563974,312.0287,-1.5563974,2,0.13834709865092557,0.13539442734941176
42,76,1.5563974,312.0287,-1.5563974,3,0.16202150009792032,0.1587899471250988
42,77,1.5563974,312.0287,-1.5563974,4,0.16700611386608483,0.16277122140408098
42,78,1.5563974,312.0287,-1.5563974,5,0.13212806344815434,0.12436836856181586
42,79,1.5563974,312.0287,-1.5563974,6,0.1320968866945911,0.1316912038263567
42,80,1.556043,312.19522,-1.556043,0,0.13113821716770047,0.12783107523684442
42,81,1.5558169,312.14645,-1.5558169,0,0.1318014572305783,0.12739679432300777
42,82,1.5558169,312.14645,-1.5558169,1,0.15780240883842753,0.15419289184646728
42,83,1.5558169,312.14645,-1.5558169,2,0.16223596861533787,0.15311583082891797
42,84,1.5558169,312.14645,-1.5558169,3,0.1725122656283622,0.1659506306336713
42,85,1.5558169,312.14645,-1.5558169,4,0.1850918434672144,0.16998633259875784
42,86,1.5557269,312.08664,-1.5557269,0,0.19340098446884627,0.1809318075878359
42,87,1.5540892,313.05756,-1.5540892,0,0.1939668651612997,0.1900934833496194
42,88,1.5540892,313.05756,-1.5540892,1,0.17986931674280188,0.16891606188432065
42,89,1.5539659,313.00967,-1.5539659,0,0.1782042423883002,0.16485414858973801
42,90,1.5539659,313.00967,-1.5539659,1,0.18013330302103603,0.17607455502707825
42,91,1.5539659,313.00967,-1.5539659,2,0.1697503959249022,0.1640946692938936
42,92,1.5539659,313.00967,-1.5539659,3,0.20768391313812268,0.19373718449732646
42,93,1.5539659,313.00967,-1.5539659,4,0.2043832661650717,0.18954185864524786
42,94,1.5539659,313.00967,-1.5539659,5,0.18162750022870233,0.16893826662306707
42,95,1.5539659,313.00967,-1.5539659,6,0.1515096778896367,0.14183300837054144
42,96,1.5539659,313.00967,-1.5539659,7,0.14553403211554722,0.1331217966668865
42,97,1.5539659,313.00967,-1.5539659,8,0.1392870299014657,0.1310503520752691
42,98,1.5521301,311.48557,-1.5521301,0,0.15997458451970895,0.1469920089150837
42,99,1.5521301,311.48557,-1.5521301,1,0.12231901153197731,0.11693079788247684
42,100,1.5521301,311.48557,-1.5521301,2,0.15864595066772655,0.15397588717960886
42,101,1.5521301,311.48557,-1.5521301,3,0.16253243241433818,0.1542131082238867
42,102,1.551799,311.54922,-1.551799,0,0.1682235228927381,0.15417291993963114
42,103,1.551799,311.54922,-1.551799,1,0.1589244067699632,0.1427888467055939
42,104,1.551799,311.54922,-1.551799,2,0.16180118334713453,0.15179115192258988
42,105,1.551799,311.54922,-1.551799,3,0.17413936315743023,0.15431281735471286
42,106,1.551799,311.54922,-1.551799,4,0.14965686479030443,0.13002747938061626
42,107,1.551799,311.54922,-1.551799,5,0.1569547455092258,0.13457467664487718
42,108,1.551799,311.54922,-1.551799,6,0.14305291556371832,0.13159216419021366
42,109,1.551799,311.54922,-1.551799,7,0.13858064207590404,0.12553287228536733
42,110,1.551799,311.54922,-1.551799,8,0.1370720064290635,0.13045649136679618
42,111,1.551799,311.54922,-1.551799,9,0.10880112532157003,0.10512050275616414
42,112,1.551799,311.54922,-1.551799,10,0.12349448302079749,0.11512704977903927
42,113,1.551799,311.54922,-1.551799,11,0.11876399024697427,0.11299174399838677
42,114,1.551799,311.54922,-1.551799,12,0.12406891804943478,0.11995381529876036
42,115,1.551799,311.54922,-1.551799,13,0.13329927140486456,0.1312164038319899
42,116,1.551799,311.54922,-1.551799,14,0.1739413761241807,0.1676024496179326
42,117,1.551799,311.54922,-1.551799,15,0.16882619387066952,0.15447855626527932
42,118,1.551799,311.54922,-1.551799,16,0.15649893671239518,0.1457377441205586
42,119,1.551799,311.54922,-1.551799,17,0.14093311862465174,0.1311767710406139
42,120,1.551799,311.54922,-1.551799,18,0.1498098868314615,0.13957314900419407
42,121,1.551799,311.54922,-1.551799,19,0.14883136857723342,0.14131569738057004
42,122,1.551799,311.54922,-1.551799,20,0.1553757534808456,0.14897966591590447
42,123,1.551799,311.54922,-1.551799,21,0.1643369459765361,0.16176114228700522
