dataset_idx,pred_ppf_max,pred_ppf_std,priority,cycle_length,rho_pcm_boc,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
7933,2.1192071437835693,0.11557503590880511,0.054536898026882843,299.5340881347656,10085.1591796875,9,3,8,4,4,1,1,1,1,1,1,4,1,1,4,5,3,1,4,1,2,1,1,3,5,6,3,5,7,6,5
7438,1.7364336252212524,0.09269962898761935,0.05338503973272604,307.0975341796875,10372.0712890625,4,4,3,8,3,1,3,2,1,1,1,1,1,6,1,6,4,1,4,5,5,1,1,9,5,3,4,1,5,1,7
8948,2.0782220363616943,0.1109359385441988,0.053380190227939175,286.1890869140625,9916.015625,4,7,1,1,5,3,5,3,9,4,1,1,1,3,5,4,3,4,1,1,1,5,1,1,1,8,6,1,4,2,6
9985,1.9221720695495605,0.10237703556814931,0.053261092696245474,322.256103515625,9980.779296875,3,1,3,1,1,8,1,1,2,4,1,4,6,1,1,1,4,5,3,3,5,4,1,7,4,5,6,1,5,9,1
2503,1.8410632610321045,0.09713122272945562,0.05275819384982415,330.4253234863281,10573.96875,6,4,1,1,1,1,1,3,1,4,4,3,9,2,3,4,1,5,7,5,1,1,4,1,5,1,1,6,3,8,5
1869,2.145113229751587,0.11273429500936005,0.05255398331724943,300.7133483886719,9759.8984375,5,9,5,4,8,3,6,3,4,7,1,1,1,1,1,3,3,4,1,6,1,1,4,1,1,1,5,2,1,4,5
8639,1.9841346740722656,0.10339843593279262,0.05211258468768289,331.3720703125,9709.2802734375,2,1,1,3,4,5,6,1,9,3,7,1,4,6,1,3,1,4,4,5,5,1,8,1,3,1,1,4,5,1,1
8685,1.9952101707458496,0.10278800717725337,0.05151735869913259,338.764404296875,10044.5361328125,1,1,1,1,3,1,5,3,1,3,4,4,2,8,1,1,1,3,7,6,1,1,4,9,5,4,4,6,1,5,5
138,1.8414314985275269,0.09483952055847451,0.05150312217267199,329.0487976074219,10025.5107421875,1,1,7,1,1,4,4,1,1,4,3,2,8,4,1,1,1,1,4,5,5,3,1,9,6,5,5,3,6,3,1
2958,2.1524364948272705,0.1104282418424505,0.05130380997567423,300.6786804199219,9722.484375,5,4,1,2,1,8,1,1,4,4,1,1,1,3,1,5,3,1,3,4,5,1,1,6,9,3,7,4,6,1,5
5114,1.8878819942474365,0.09662894407109457,0.05118375807010019,322.7867431640625,10505.8427734375,4,4,1,1,2,1,1,1,1,8,4,4,1,1,5,6,1,3,5,5,4,1,1,9,3,3,6,3,5,7,1
1325,1.9773122072219849,0.10120087381544834,0.05118100451502318,296.60321044921875,9046.7197265625,4,4,1,4,6,2,4,5,6,3,4,1,3,1,3,1,9,1,3,1,5,1,1,1,7,5,8,1,1,1,5
4328,1.778063178062439,0.09054248522597849,0.0509219457329357,311.8770446777344,9315.6953125,6,3,1,4,1,8,1,3,1,1,3,4,3,1,1,4,1,4,7,5,1,4,1,1,2,5,1,9,6,5,5
6510,1.9997469186782837,0.10165929359856374,0.05083605538680575,322.81646728515625,10106.1728515625,1,6,4,7,5,5,3,1,1,4,4,9,3,6,5,8,1,1,4,1,1,3,1,5,4,3,1,1,1,2,1
8627,1.8344727754592896,0.09254068938303651,0.050445360930157376,313.52655029296875,11212.20703125,1,1,8,1,4,5,3,3,9,2,3,1,6,1,1,1,4,1,4,5,5,1,5,1,7,4,3,1,1,6,4
