pattern,pred_ppf,sigma_ppf,cycle,priority
"[7, 2, 9, 3, 1, 3, 8, 2, 4, 9, 4, 3, 1, 7, 6, 9, 3, 8, 4, 5, 2, 6, 7, 9, 8, 7, 5, 8, 9, 7, 2]",2.016108989715576,0.09047847986221313,316.54205322265625,0.04487774988654138
"[9, 9, 9, 4, 8, 6, 9, 9, 3, 5, 8, 1, 2, 6, 4, 8, 4, 4, 4, 7, 5, 9, 7, 9, 8, 4, 5, 7, 6, 7, 4]",2.1840567588806152,0.09800369292497635,313.29052734375,0.04487229906191021
"[7, 2, 7, 1, 2, 1, 4, 8, 9, 8, 9, 4, 3, 7, 6, 1, 9, 2, 6, 1, 8, 7, 3, 9, 9, 1, 9, 6, 8, 5, 6]",2.0652685165405273,0.09261845052242279,317.0218811035156,0.044845696787102755
"[9, 4, 5, 7, 9, 9, 7, 1, 4, 7, 9, 3, 4, 2, 3, 7, 6, 8, 4, 4, 9, 8, 7, 3, 9, 2, 3, 2, 6, 8, 3]",1.9535140991210938,0.08743409067392349,321.2009582519531,0.044757315012953304
"[2, 3, 3, 9, 7, 6, 8, 6, 9, 3, 9, 4, 4, 3, 5, 9, 7, 8, 8, 3, 2, 5, 3, 2, 6, 7, 4, 1, 5, 5, 5]",2.097230911254883,0.09378958493471146,312.68450927734375,0.04472065508415436
"[9, 4, 5, 3, 2, 9, 4, 1, 3, 4, 9, 4, 3, 4, 3, 8, 6, 9, 1, 6, 7, 8, 7, 3, 2, 1, 1, 9, 1, 8, 5]",1.8664484024047852,0.08269990980625153,318.6940612792969,0.044308680267302544
"[8, 4, 1, 1, 6, 7, 4, 1, 7, 7, 8, 4, 4, 3, 5, 6, 8, 9, 5, 4, 7, 9, 7, 9, 9, 4, 9, 9, 7, 9, 4]",2.0785138607025146,0.09178194403648376,326.80438232421875,0.044157463471520476
"[6, 4, 9, 1, 7, 9, 9, 1, 7, 8, 8, 4, 4, 3, 7, 6, 8, 4, 9, 4, 2, 8, 7, 9, 9, 9, 9, 1, 6, 6, 8]",2.222115993499756,0.09805868566036224,312.8924255371094,0.04412849816063162
"[9, 4, 4, 3, 7, 6, 4, 3, 6, 1, 7, 7, 9, 8, 5, 4, 4, 9, 6, 8, 6, 4, 3, 9, 6, 3, 5, 4, 8, 1, 8]",2.006904363632202,0.08837559074163437,327.4625244140625,0.04403575392398554
"[5, 4, 6, 9, 1, 3, 4, 4, 9, 4, 9, 7, 4, 9, 9, 7, 8, 3, 1, 1, 1, 7, 8, 9, 9, 4, 7, 4, 9, 9, 8]",2.1570587158203125,0.09493330121040344,304.4719543457031,0.04401051139852244
"[2, 9, 1, 1, 2, 7, 1, 1, 2, 4, 9, 7, 4, 7, 7, 8, 4, 8, 1, 7, 5, 6, 4, 7, 9, 4, 5, 9, 6, 1, 4]",2.015521287918091,0.08862362056970596,324.0403137207031,0.043970548527770756
