arm,seed,gen,best_ppf,sigma,best_fitness,h_sens_pop,div,stag,n_al
A_baseline,137,94,1.8366308212280273,0.05633588507771492,,1.5094634994163616,1.0,6,50
A_baseline,137,95,1.8366308212280273,0.05633588507771492,,1.5137871766219975,1.0,7,50
A_baseline,137,96,1.8366308212280273,0.05633588507771492,,1.4725158241899543,1.0,8,50
A_baseline,137,97,1.8366308212280273,0.05633588507771492,,1.4663262724798618,1.0,9,50
A_baseline,137,98,1.8366308212280273,0.05633588507771492,,1.5278094850393265,1.0,10,50
A_baseline,137,99,1.8366308212280273,0.05633588507771492,,1.5306016898103716,1.0,11,50
A_baseline,137,100,1.8366308212280273,0.05633588507771492,,1.5758850329347012,1.0,12,50
A_baseline,137,101,1.8366308212280273,0.05633588507771492,,1.5618964209721624,1.0,13,50
A_baseline,137,102,1.8366308212280273,0.05633588507771492,,1.5507728624368067,1.0,14,50
A_baseline,137,103,1.8366308212280273,0.05633588507771492,,1.5670792759920993,1.0,15,50
A_baseline,137,104,1.8366308212280273,0.05633588507771492,,1.5710181485773802,1.0,16,50
A_baseline,137,105,1.8366308212280273,0.05633588507771492,,1.5144195675717749,1.0,17,50
A_baseline,137,106,1.8366308212280273,0.05633588507771492,,1.4872548362459304,1.0,18,50
A_baseline,137,107,1.8366308212280273,0.05633588507771492,,1.4877997733298058,1.0,19,50
A_baseline,137,108,1.8366308212280273,0.05633588507771492,,1.552072050427541,1.0,0,50
A_baseline,137,109,1.8366308212280273,0.05633588507771492,,1.5260286982913696,1.0,1,50
A_baseline,137,110,1.8366308212280273,0.05633588507771492,,1.5314973357021584,1.0,2,50
A_baseline,137,111,1.8366308212280273,0.05633588507771492,,1.5622510666642828,1.0,3,50
A_baseline,137,112,1.8366308212280273,0.05633588507771492,,1.558549009366969,1.0,4,50
A_baseline,137,113,1.8366308212280273,0.05633588507771492,,1.5192581346530565,1.0,5,50
A_baseline,137,114,1.8366308212280273,0.05633588507771492,,1.5169105038549402,1.0,6,50
A_baseline,137,115,1.8366308212280273,0.05633588507771492,,1.5486168543325591,1.0,7,50
A_baseline,137,116,1.8366308212280273,0.05633588507771492,,1.5143871788087815,1.0,8,50
A_baseline,137,117,1.8366308212280273,0.05633588507771492,,1.509203605836422,1.0,9,50
A_baseline,137,118,1.8366308212280273,0.05633588507771492,,1.5155833699575636,1.0,10,50
A_baseline,137,119,1.8366308212280273,0.05633588507771492,,1.495359998406005,1.0,11,50
A_baseline,137,120,1.8366308212280273,0.05633588507771492,,1.5001501945304627,1.0,12,50
A_baseline,137,121,1.8366308212280273,0.05633588507771492,,1.4952001158243071,1.0,13,50
A_baseline,137,122,1.8366308212280273,0.05633588507771492,,1.5025095959779773,1.0,14,50
A_baseline,137,123,1.8366308212280273,0.05633588507771492,,1.4657398141914164,1.0,15,50
A_baseline,137,124,1.8366308212280273,0.05633588507771492,,1.4508076531047276,1.0,16,50
A_baseline,137,125,1.8366308212280273,0.05633588507771492,,1.4586599291343205,1.0,17,50
A_baseline,137,126,1.8366308212280273,0.05633588507771492,,1.460578691750854,1.0,18,50
A_baseline,137,127,1.8366308212280273,0.05633588507771492,,1.4510377612076684,1.0,19,50
A_baseline,137,128,1.8366308212280273,0.05633588507771492,,1.5206248064869368,1.0,0,50
A_baseline,137,129,1.8366308212280273,0.05633588507771492,,1.4825800472369235,1.0,1,50
A_baseline,137,130,1.8366308212280273,0.05633588507771492,,1.500537169492314,1.0,2,50
A_baseline,137,131,1.8366308212280273,0.05633588507771492,,1.4765747583279805,1.0,3,50
A_baseline,137,132,1.8366308212280273,0.05633588507771492,,1.4530183437375177,1.0,4,50
A_baseline,137,133,1.8366308212280273,0.05633588507771492,,1.4418115802318319,1.0,5,50
A_baseline,137,134,1.8366308212280273,0.05633588507771492,,1.4167024426547146,1.0,6,50
A_baseline,137,135,1.8366308212280273,0.05633588507771492,,1.3959595610914466,1.0,7,50
A_baseline,137,136,1.8366308212280273,0.05633588507771492,,1.3892514754850167,1.0,8,50
A_baseline,137,137,1.8366308212280273,0.05633588507771492,,1.3633255845833674,1.0,9,50
A_baseline,137,138,1.8366308212280273,0.05633588507771492,,1.36195238684308,1.0,10,50
A_baseline,137,139,1.8366308212280273,0.05633588507771492,,1.3684291408262257,1.0,11,50
A_baseline,137,140,1.8366308212280273,0.05633588507771492,,1.344567106433143,1.0,12,50
A_baseline,137,141,1.8366308212280273,0.05633588507771492,,1.3731742852393807,1.0,13,50
A_baseline,137,142,1.8366308212280273,0.05633588507771492,,1.4164099372530272,1.0,14,50
A_baseline,137,143,1.8366308212280273,0.05633588507771492,,1.386832173209964,1.0,15,50
A_baseline,137,144,1.8366308212280273,0.05633588507771492,,1.3715980825021623,1.0,16,50
A_baseline,137,145,1.8366308212280273,0.05633588507771492,,1.3718011390505784,1.0,17,50
A_baseline,137,146,1.8366308212280273,0.05633588507771492,,1.3816100106777989,1.0,18,50
A_baseline,137,147,1.8366308212280273,0.05633588507771492,,1.404817541123097,1.0,19,50
