pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,cycle,priority,entropy_mode
"[4, 1, 4, 1, 3, 8, 1, 7, 1, 4, 4, 1, 8, 7, 1, 1, 4, 2, 9, 3, 3, 1, 1, 1, 2, 2, 1, 7, 3, 1, 1]",1.8994786739349365,0.08779755234718323,-1.0137832164764404,1.6397063732147217,-164.51927185058594,322.5876159667969,278.47045539852314,combined
"[3, 1, 4, 8, 3, 3, 1, 8, 1, 1, 9, 1, 8, 5, 1, 1, 4, 7, 5, 8, 5, 1, 1, 1, 9, 1, 1, 7, 2, 1, 1]",1.9237033128738403,0.08907521516084671,-0.9993356466293335,1.6344985961914062,-165.60963439941406,326.84637451171875,277.70896843889886,combined
"[3, 1, 3, 9, 5, 9, 1, 2, 1, 4, 9, 1, 8, 4, 3, 1, 1, 7, 8, 5, 5, 1, 1, 1, 5, 1, 1, 2, 3, 1, 1]",1.8529019355773926,0.0940268263220787,-0.9452365636825562,1.5902223587036133,-158.08221435546875,323.1786804199219,277.36259336215164,combined
"[3, 1, 3, 9, 8, 4, 1, 8, 1, 1, 9, 1, 8, 6, 2, 1, 4, 7, 9, 5, 6, 1, 1, 1, 3, 9, 1, 7, 7, 1, 1]",1.883479356765747,0.08619921654462814,-1.0321558713912964,1.6222647428512573,-167.55137634277344,322.0016784667969,277.3439968403027,combined
"[3, 1, 1, 7, 8, 9, 1, 1, 1, 1, 4, 1, 9, 5, 3, 1, 3, 7, 9, 5, 5, 1, 1, 1, 9, 3, 1, 9, 2, 1, 1]",1.8620939254760742,0.08371078222990036,-1.0614490509033203,1.5835739374160767,-162.2820281982422,325.8892517089844,277.1446924803975,combined
"[4, 1, 3, 9, 8, 1, 1, 6, 1, 1, 7, 1, 8, 7, 7, 1, 9, 7, 7, 5, 6, 1, 1, 1, 2, 4, 1, 7, 2, 1, 1]",1.8769384622573853,0.08622246980667114,-1.031886100769043,1.596934199333191,-166.00765991210938,325.7086486816406,277.1188365727829,combined
"[3, 1, 7, 2, 8, 4, 1, 6, 1, 1, 9, 1, 8, 6, 2, 1, 3, 7, 8, 6, 7, 1, 1, 1, 5, 1, 1, 8, 7, 1, 1]",1.9491817951202393,0.09353811293840408,-0.9504477977752686,1.666167140007019,-168.88218688964844,324.07171630859375,277.0174485793916,combined
"[3, 1, 6, 8, 6, 9, 1, 6, 1, 4, 8, 1, 8, 9, 8, 1, 3, 7, 5, 5, 5, 1, 1, 1, 5, 1, 1, 7, 7, 1, 1]",1.9689435958862305,0.09735973924398422,-0.9104040861129761,1.6859161853790283,-165.2333526611328,321.9654235839844,275.68409994204757,combined
"[1, 1, 3, 3, 3, 9, 1, 5, 1, 9, 7, 1, 7, 2, 4, 1, 3, 9, 4, 9, 3, 1, 1, 1, 8, 7, 1, 9, 2, 1, 1]",1.9190402030944824,0.09207597374916077,-0.9662028551101685,1.6109381914138794,-166.2716827392578,327.18310546875,274.65369651005597,combined
"[4, 1, 1, 1, 1, 3, 1, 5, 1, 4, 7, 1, 8, 5, 1, 1, 4, 4, 7, 6, 7, 1, 1, 1, 6, 1, 1, 9, 5, 1, 1]",1.8233262300491333,0.07947409152984619,-1.113385796546936,1.5179216861724854,-160.3662872314453,329.9063415527344,274.6473490856757,combined
