source,seed,ppf_pred,pos_0_type,pos_0_shap,pos_1_type,pos_1_shap,pos_2_type,pos_2_shap,pos_3_type,pos_3_shap,pos_4_type,pos_4_shap,pos_5_type,pos_5_shap,pos_6_type,pos_6_shap,pos_7_type,pos_7_shap,pos_8_type,pos_8_shap,pos_9_type,pos_9_shap,pos_10_type,pos_10_shap,pos_11_type,pos_11_shap,pos_12_type,pos_12_shap,pos_13_type,pos_13_shap,pos_14_type,pos_14_shap,pos_15_type,pos_15_shap,pos_16_type,pos_16_shap,pos_17_type,pos_17_shap,pos_18_type,pos_18_shap,pos_19_type,pos_19_shap,pos_20_type,pos_20_shap,pos_21_type,pos_21_shap,pos_22_type,pos_22_shap,pos_23_type,pos_23_shap,pos_24_type,pos_24_shap,pos_25_type,pos_25_shap,pos_26_type,pos_26_shap,pos_27_type,pos_27_shap,pos_28_type,pos_28_shap,pos_29_type,pos_29_shap,pos_30_type,pos_30_shap
al_candidate,137,5.031436443328857,8,-0.28862426184621204,2,0.7614097731538529,5,0.54781210827608,3,-0.07763162283087732,6,0.0,1,0.0,4,0.0,7,0.0,5,1.2043806475092513,9,-0.1981354524205416,4,0.0,4,0.1504710667479563,4,0.16311068206156284,2,0.0,1,0.0,3,0.0,7,0.0,6,-0.17504783089863488,8,0.0,7,0.0,3,0.0,8,0.0,9,0.0,7,0.0,3,0.0,9,0.0,8,-0.039065175807098985,8,0.0,4,0.0,8,0.0,9,0.0
al_candidate,137,4.419563293457031,4,-0.3692503494254724,5,1.0983561002172921,6,0.24162691756932222,7,0.0,8,0.0,7,0.0,7,0.0,9,0.0,6,0.4937069748530795,2,0.3428030141990391,1,0.0,1,0.0,9,0.0,7,0.036021420016555394,5,0.0,5,0.11691362248866627,9,0.0,2,-0.14922238793833772,5,-0.16885344820302264,2,0.0,4,0.0,2,0.0,6,-0.20529507970361005,6,0.0,9,0.0,8,0.0,5,0.0,4,0.0,3,0.0,1,0.0,5,0.0
al_candidate,271,4.746880531311035,6,0.2247778005958956,6,0.6074603909749677,6,0.21560383638783093,8,0.0,1,0.0,9,0.0,6,0.0,6,0.06402313698010793,2,0.6259367891992562,8,0.0,3,0.0,1,0.0,7,0.0,1,0.0,3,0.0,5,0.09023720150569164,2,0.0,3,0.05604491737493794,3,0.0,6,0.0,3,0.0,7,0.012244021335361127,6,-0.17008518917641902,5,0.0,6,0.0,3,0.0,7,0.0,3,0.0,3,0.0,8,0.0,2,0.037881116749885334
al_candidate,271,5.313816547393799,8,-0.2501553425632456,5,1.5462619944053861,8,-0.14745345208306498,1,0.0,6,0.0,7,0.0,8,0.0,8,0.0,5,1.1914128463705158,3,0.0,7,0.0,4,0.14898015112891397,8,0.0,6,0.0,1,0.0,7,0.0,4,0.10049788523141384,3,0.0,2,-0.1187399806757834,1,0.0,8,-0.06373163077532773,5,-0.10678322794540514,1,0.0,4,0.030770794916876083,5,0.0,4,0.0,1,0.0,1,0.0,3,0.0,2,0.0,3,0.0
al_candidate,137,4.586419105529785,6,0.24281843732647085,2,0.6516994169917508,4,-0.34464101550342163,6,0.0,6,0.0,3,0.0,3,0.0,3,0.0,5,1.1070028568878976,6,0.3448065940470867,9,0.0,3,0.09246788438417354,1,0.0,3,0.0,9,0.0,9,0.0,4,0.054948442905953555,8,0.0,5,0.0,3,0.07182700697923246,7,0.0,8,0.0,5,-0.45028083150222786,2,-0.16698619637065026,7,0.0,6,0.0,7,0.0,5,0.0,9,0.0,6,0.0,8,0.0
al_candidate,137,4.8811163902282715,9,-0.30830576092589507,1,0.0,5,0.48365012573452604,8,0.0017881704352517265,3,0.0,9,0.0,9,0.0,3,0.0,5,1.0208303498799816,6,0.3910657571455614,8,0.0,3,0.07345574871152641,6,0.0,9,0.001996597903277634,8,0.0,8,0.0,9,0.07897449057873507,1,0.0,4,0.0962294729834571,1,0.0,3,0.0,8,0.0,7,0.0,1,0.0,7,0.0,4,0.0,6,0.0,1,0.0,2,0.0,2,0.058674928398330106,7,0.0
al_candidate,137,5.761183738708496,1,0.01660431836056266,5,1.6328703990164444,2,0.24850076729781473,1,0.0,9,0.0,6,0.0,7,0.06818277368655035,9,0.0,2,0.697010338723234,7,0.08037235962475478,1,0.0,7,0.0,4,0.12460334860842522,5,-0.1664923627193522,8,0.0,4,0.0,7,0.0,8,0.0,1,0.0,2,0.0,4,0.0,4,0.049366162527319554,7,0.0,5,0.0,4,0.0,5,0.027409124199222874,4,0.0,6,0.0,6,0.0,4,0.0,7,0.0
al_candidate,42,5.024675369262695,1,0.06580808912719283,5,1.347014657497638,6,0.21172698781545823,1,0.0,6,0.0,8,0.0,7,0.0,8,0.0,2,0.6033216964749482,6,0.33406648547169593,7,0.0,7,0.0,6,-0.09770997666801232,5,-0.12403087170802207,7,0.0,8,0.0,5,-0.1941288034570499,1,0.0,7,0.0,6,0.0,6,0.03288787123908687,3,0.0,2,-0.13703727591376008,8,0.0,1,0.0,4,0.0,6,0.0,1,0.0,6,0.0,1,0.0,2,0.0
al_candidate,509,5.790000915527344,1,0.0,5,1.418852569827908,5,0.4940354265705592,4,0.0,3,0.0,6,0.0,1,0.0,5,0.05099839069329331,6,0.5813917241311994,1,0.027616437433830642,1,0.0,7,0.01598266252447811,4,0.02129141247961423,1,0.0,5,0.02317371903948205,3,0.0,2,0.0,4,0.14354345688046877,5,0.0,3,0.0,9,0.0,9,0.0,2,0.0,6,0.0,5,0.0,6,0.0,7,0.0,8,0.030358606562991046,9,0.0,9,0.0,6,0.0
al_candidate,509,4.782815933227539,2,0.30706802830531515,5,1.3931971084877306,4,-0.3546617437400968,8,0.0,5,0.0,6,0.0,2,0.0,3,0.0,7,0.0,2,0.3721505124490083,6,0.0,9,0.07032559664048613,7,0.0,3,0.0580698228234417,7,0.0,8,0.0,9,0.051956410364401635,3,0.06667927273434618,5,-0.21130641464086522,1,0.0,5,0.0,1,0.0,9,0.046580830420251296,4,0.0,2,0.0,2,0.0,9,0.0,8,0.0,9,0.0,4,0.0,6,0.0
al_candidate,42,4.559561252593994,3,-0.3002596644984901,5,1.235547386984734,5,0.5295998787871068,6,0.04047516406133859,8,0.0,3,0.0,8,0.0,6,0.0,1,0.0,3,0.0,1,0.0,1,0.0,3,0.032520491740096524,2,0.0,8,0.0,9,0.0,5,-0.15790748363950025,7,0.0,9,0.0,4,0.0,5,0.04074270537424518,6,0.0,9,0.06153261727926739,7,0.0,1,0.0,6,0.0,2,0.0,2,0.0,5,0.0,6,0.06110800621100873,1,0.03344564091066766
al_candidate,137,5.040698051452637,3,-0.331876793276463,5,1.192749212464227,6,0.18885118208434137,6,0.0,1,0.0,3,0.0,9,0.0,7,0.0,2,0.4937047999627472,5,0.49312160370056446,1,0.0,7,0.0,5,-0.19224450739927448,3,0.0,3,0.0,6,0.021406539528484814,3,0.08946018736529752,1,0.0,3,0.03873579934543328,2,0.0,9,0.0,5,0.0,7,0.0,9,0.0,8,0.0,3,0.0,2,0.0,8,0.0,1,0.0,4,0.0,5,0.06403351829375886
al_candidate,42,4.547886848449707,7,-0.0970891111281391,5,1.1155631174961678,5,0.424106652780221,5,0.0,4,0.0,8,0.0,1,0.0,1,0.0,2,0.53375385086522,3,0.0,6,-0.053861174486597996,8,0.0,7,0.0,9,0.0,1,0.0,2,0.0,2,-0.1227428444726229,6,-0.14327027011844704,4,0.09684619624368372,3,0.0,3,0.0,8,0.0,2,-0.14751657309333446,2,0.0,4,0.0,5,0.0,7,0.0,6,0.0,8,0.0,8,0.0,4,-0.04065950501996363
al_candidate,271,4.0016279220581055,1,0.0,5,1.3696268527149087,4,-0.31680478386174327,3,0.0,5,0.0,4,0.0,1,0.0,9,0.0,1,0.0,9,-0.15441581012337882,7,0.0,7,0.0,8,0.03420916162837673,9,0.08736317156787896,5,0.0,4,-0.10927652099011884,1,0.0,8,0.0,4,0.11687315262660217,6,0.0,1,0.0,6,0.0,1,0.0,6,-0.10032382396741708,4,0.023612995124421898,2,0.0,1,0.0,3,0.06800701795505558,7,0.0,3,0.0,6,0.0
al_candidate,271,5.310054779052734,2,0.2541056468771606,5,1.2593194300800954,5,0.34281693200467594,4,0.0,5,0.0,4,0.04149067135286841,4,0.0,5,0.0,3,-0.23854743700330935,5,0.5111789540992033,1,0.0,9,0.07874889176766997,8,0.025362875876474792,5,0.0,1,0.0,7,0.0,7,0.0,6,0.0,9,0.0,3,0.0,8,0.0,7,0.0,2,0.0,3,0.0,4,0.0,6,0.039838165336613364,6,0.012984139277762055,1,0.0,7,0.0,8,0.0,4,0.0
al_candidate,42,4.320740699768066,3,-0.22940597918014227,6,0.4091991502934808,1,-0.06625544978357223,2,0.0,3,0.0,1,0.0,1,0.0,9,0.0,5,0.7990194299529944,5,0.5368765039223923,2,-0.046665666391515585,1,0.0,7,0.0,7,0.0,9,0.0,1,0.0,1,0.0,6,-0.14088542447990599,4,0.06619970465396778,1,0.0,4,-0.031516320759276385,2,0.0,8,0.0,8,0.0,6,0.0,4,0.0,8,0.0,6,0.0,7,0.0,5,0.041418242156124,9,0.0
al_candidate,42,4.747481346130371,2,0.37383544051107026,5,1.5982002615466082,7,0.0,9,0.0,9,0.0,6,0.0,9,0.0,5,0.05854111057068714,1,0.0,9,-0.15269927901319957,1,0.0,3,0.04845925235027698,1,0.0,5,-0.2062768542584994,5,0.0,6,0.09627310031115589,1,0.0,1,0.0,3,0.0,1,0.0,1,0.0,4,-0.040231518425480006,9,0.06415893570770752,7,0.0,4,0.0,3,0.0,8,0.0,7,0.0,8,0.0,9,-0.0755356125534754,1,0.0
al_candidate,271,4.294215202331543,5,0.6785419829208921,1,0.0,3,-0.21080135197520647,3,0.0,8,0.0,1,0.0,9,0.0,7,0.0,2,0.6568772606077252,7,0.0,1,0.0,8,0.0,7,0.0,4,0.0,5,0.09623668495381613,6,0.11962872863619967,8,0.07304690458151718,8,0.07864789898202572,9,0.0,4,0.0,9,0.0,2,0.0,8,0.06916274206041706,2,-0.1289331033989934,3,0.0,1,0.0,2,0.0,6,-0.12094905442036948,5,0.0,8,0.0,6,0.0
al_candidate,509,4.5597991943359375,2,0.3443450171113267,2,0.6957743830738928,4,-0.41113792907967317,7,0.0,2,0.0,1,0.0,9,0.0,9,0.0,2,0.6955680149657143,1,0.0,8,0.0,1,0.0,8,0.07717986408347909,7,0.0349232978688921,1,0.0,3,-0.1092073119735395,8,0.0,4,0.14303281108561583,6,0.0,8,0.0,2,0.054440353258178566,4,0.0,4,0.0,7,0.0,8,0.0,4,0.0,9,0.0,7,0.0,4,0.0,2,0.05212418455853147,3,0.0
al_candidate,509,4.846580982208252,3,-0.2953095201141041,6,0.5584988730860421,2,0.20191953027957066,2,0.05708670362849183,6,0.0,8,0.0,8,0.0,1,0.0,5,0.9954107372590502,7,0.0,9,0.04769011512430125,4,0.14755550193735079,7,0.0,9,0.0,7,0.0,8,0.0,5,0.0,8,0.0,8,0.0,1,0.0,4,0.0,9,0.03147403262139811,6,0.0,9,0.0,6,0.0,5,0.0,1,0.0,3,0.034770570504133014,2,0.0,3,0.0,6,0.08472792849849806
