seed,gen,pattern,ppf_pred,sigma,h_sens_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
42,4,"[4, 1, 1, 7, 6, 4, 3, 3, 1, 7, 4, 4, 1, 1, 1, 1, 4, 1, 7, 5, 4, 3, 7, 1, 5, 4, 1, 5, 3, 5, 6]",1.9079562425613403,0.1012236699461937,1.6978983759848574,33.82814025878906,1.0458554029464722,4,1,1,7,6,4,3,3,1,7,4,4,1,1,1,1,4,1,7,5,4,3,7,1,5,4,1,5,3,5,6
42,3,"[6, 2, 1, 4, 4, 1, 1, 5, 8, 3, 8, 1, 6, 4, 5, 1, 4, 4, 5, 4, 1, 1, 1, 1, 5, 1, 5, 7, 1, 4, 6]",2.98111891746521,0.10476814955472946,1.6857814920678664,35.34013748168945,1.0379040241241455,6,2,1,4,4,1,1,5,8,3,8,1,6,4,5,1,4,4,5,4,1,1,1,1,5,1,5,7,1,4,6
42,2,"[1, 3, 1, 8, 1, 1, 4, 1, 5, 5, 5, 5, 5, 8, 3, 1, 6, 1, 3, 1, 1, 3, 1, 1, 7, 5, 6, 4, 5, 1, 9]",3.2700355052948,0.10846393555402756,1.6955383907059447,33.63309860229492,1.0373446941375732,1,3,1,8,1,1,4,1,5,5,5,5,5,8,3,1,6,1,3,1,1,3,1,1,7,5,6,4,5,1,9
42,1,"[7, 5, 1, 4, 4, 3, 6, 1, 1, 7, 3, 8, 6, 6, 5, 4, 4, 4, 1, 3, 1, 1, 3, 4, 5, 4, 1, 1, 1, 3, 4]",3.3401167392730713,0.09745416045188904,1.6903256300444942,34.706153869628906,0.967918336391449,7,5,1,4,4,3,6,1,1,7,3,8,6,6,5,4,4,4,1,3,1,1,3,4,5,4,1,1,1,3,4
42,1,"[1, 4, 3, 5, 1, 1, 1, 5, 5, 2, 6, 3, 4, 1, 5, 2, 4, 5, 3, 3, 1, 1, 8, 1, 1, 9, 4, 1, 6, 1, 1]",3.7001166343688965,0.09296266734600067,1.6903256300444942,35.0948486328125,0.9297007918357849,1,4,3,5,1,1,1,5,5,2,6,3,4,1,5,2,4,5,3,3,1,1,8,1,1,9,4,1,6,1,1
42,4,"[1, 6, 1, 2, 3, 1, 1, 5, 7, 4, 1, 4, 1, 2, 1, 2, 4, 1, 1, 1, 4, 1, 4, 5, 1, 1, 9, 4, 1, 1, 1]",2.9390439987182617,0.10149325430393219,1.6978983759848574,32.836002349853516,0.9085555076599121,1,6,1,2,3,1,1,5,7,4,1,4,1,2,1,2,4,1,1,1,4,1,4,5,1,1,9,4,1,1,1
42,3,"[6, 4, 1, 3, 8, 1, 6, 2, 8, 1, 1, 2, 1, 7, 5, 4, 7, 1, 3, 1, 6, 4, 1, 3, 3, 1, 1, 4, 1, 5, 9]",2.2082860469818115,0.08952417969703674,1.6857814920678664,36.33421325683594,0.8701057434082031,6,4,1,3,8,1,6,2,8,1,1,2,1,7,5,4,7,1,3,1,6,4,1,3,3,1,1,4,1,5,9
42,4,"[3, 1, 1, 5, 1, 9, 4, 6, 1, 7, 3, 4, 4, 9, 4, 4, 1, 4, 5, 1, 4, 2, 1, 4, 6, 1, 3, 8, 7, 1, 3]",2.37945294380188,0.08542737364768982,1.6978983759848574,36.17806625366211,0.8680866956710815,3,1,1,5,1,9,4,6,1,7,3,4,4,9,4,4,1,4,5,1,4,2,1,4,6,1,3,8,7,1,3
42,3,"[4, 1, 7, 7, 1, 5, 4, 3, 3, 5, 3, 1, 9, 3, 1, 8, 7, 3, 7, 5, 4, 1, 9, 1, 1, 3, 4, 5, 1, 4, 1]",2.4822776317596436,0.07794716209173203,1.6857814920678664,37.653900146484375,0.8441174030303955,4,1,7,7,1,5,4,3,3,5,3,1,9,3,1,8,7,3,7,5,4,1,9,1,1,3,4,5,1,4,1
42,4,"[6, 2, 1, 5, 3, 1, 1, 1, 8, 3, 5, 1, 1, 4, 1, 1, 4, 4, 4, 1, 9, 1, 1, 1, 1, 1, 5, 7, 4, 4, 6]",3.7258591651916504,0.0947984904050827,1.6978983759848574,33.36412811279297,0.7642558217048645,6,2,1,5,3,1,1,1,8,3,5,1,1,4,1,1,4,4,4,1,9,1,1,1,1,1,5,7,4,4,6
42,4,"[1, 6, 4, 4, 5, 5, 7, 6, 3, 6, 5, 1, 1, 4, 3, 5, 4, 9, 4, 8, 4, 1, 1, 3, 5, 7, 3, 1, 5, 1, 5]",3.2074358463287354,0.07878407090902328,1.6978983759848574,36.74306869506836,0.7309302687644958,1,6,4,4,5,5,7,6,3,6,5,1,1,4,3,5,4,9,4,8,4,1,1,3,5,7,3,1,5,1,5
42,2,"[3, 5, 7, 4, 4, 1, 1, 1, 8, 1, 3, 7, 5, 2, 3, 1, 4, 8, 4, 1, 3, 3, 1, 4, 4, 1, 1, 1, 5, 1, 3]",3.087409734725952,0.09031341224908829,1.6955383907059447,34.43925094604492,0.7273903489112854,3,5,7,4,4,1,1,1,8,1,3,7,5,2,3,1,4,8,4,1,3,3,1,4,4,1,1,1,5,1,3
42,4,"[4, 6, 5, 7, 4, 1, 5, 1, 1, 1, 3, 4, 9, 4, 5, 1, 1, 2, 1, 6, 6, 3, 2, 4, 3, 1, 5, 3, 1, 1, 1]",3.5297999382019043,0.08607196807861328,1.6978983759848574,34.92866516113281,0.7053089141845703,4,6,5,7,4,1,5,1,1,1,3,4,9,4,5,1,1,2,1,6,6,3,2,4,3,1,5,3,1,1,1
42,2,"[7, 5, 3, 4, 1, 1, 6, 3, 1, 1, 3, 8, 4, 1, 1, 4, 4, 3, 1, 3, 1, 1, 3, 4, 1, 1, 1, 1, 1, 3, 4]",4.136569976806641,0.11981014162302017,1.6955383907059447,30.01003074645996,0.661950409412384,7,5,3,4,1,1,6,3,1,1,3,8,4,1,1,4,4,3,1,3,1,1,3,4,1,1,1,1,1,3,4
42,1,"[4, 1, 1, 8, 5, 5, 6, 3, 1, 5, 1, 3, 6, 4, 1, 9, 5, 1, 5, 3, 4, 5, 2, 1, 4, 4, 4, 1, 1, 4, 5]",2.6015994548797607,0.09263492375612259,1.6903256300444942,33.742549896240234,0.6386509537696838,4,1,1,8,5,5,6,3,1,5,1,3,6,4,1,9,5,1,5,3,4,5,2,1,4,4,4,1,1,4,5
42,2,"[3, 4, 4, 7, 3, 3, 1, 6, 1, 3, 1, 5, 1, 5, 3, 4, 1, 3, 7, 2, 5, 1, 1, 1, 6, 6, 8, 5, 3, 9, 1]",1.895586371421814,0.07780686765909195,1.6955383907059447,35.63401794433594,0.6304700374603271,3,4,4,7,3,3,1,6,1,3,1,5,1,5,3,4,1,3,7,2,5,1,1,1,6,6,8,5,3,9,1
42,3,"[1, 1, 5, 1, 9, 1, 1, 3, 5, 3, 3, 1, 8, 3, 1, 4, 1, 9, 6, 1, 4, 5, 6, 4, 3, 1, 4, 4, 4, 8, 5]",4.158655643463135,0.09467636048793793,1.6857814920678664,34.268192291259766,0.6160441637039185,1,1,5,1,9,1,1,3,5,3,3,1,8,3,1,4,1,9,6,1,4,5,6,4,3,1,4,4,4,8,5
42,2,"[5, 4, 1, 7, 3, 2, 3, 1, 7, 3, 4, 1, 8, 4, 8, 6, 4, 4, 5, 4, 5, 4, 1, 1, 1, 1, 1, 6, 1, 9, 1]",2.0105950832366943,0.0698709487915039,1.6955383907059447,36.43594741821289,0.576962411403656,5,4,1,7,3,2,3,1,7,3,4,1,8,4,8,6,4,4,5,4,5,4,1,1,1,1,1,6,1,9,1
42,1,"[5, 1, 4, 3, 8, 4, 3, 6, 1, 9, 5, 1, 1, 2, 5, 1, 3, 1, 1, 6, 1, 3, 3, 4, 5, 1, 1, 3, 1, 7, 1]",2.4714670181274414,0.0880708396434784,1.6903256300444942,33.79226303100586,0.5277299284934998,5,1,4,3,8,4,3,6,1,9,5,1,1,2,5,1,3,1,1,6,1,3,3,4,5,1,1,3,1,7,1
42,2,"[1, 5, 1, 1, 5, 1, 4, 1, 4, 4, 3, 1, 1, 2, 1, 1, 7, 1, 7, 5, 4, 4, 5, 6, 6, 6, 7, 5, 1, 5, 1]",2.1725223064422607,0.08437882363796234,1.6955383907059447,34.139984130859375,0.5233418941497803,1,5,1,1,5,1,4,1,4,4,3,1,1,2,1,1,7,1,7,5,4,4,5,6,6,6,7,5,1,5,1
42,2,"[1, 7, 6, 5, 5, 4, 6, 1, 1, 5, 1, 3, 4, 3, 1, 1, 3, 1, 5, 4, 4, 3, 1, 8, 1, 1, 5, 7, 5, 1, 1]",3.652552366256714,0.0861736461520195,1.6955383907059447,33.87132263183594,0.519514799118042,1,7,6,5,5,4,6,1,1,5,1,3,4,3,1,1,3,1,5,4,4,3,1,8,1,1,5,7,5,1,1
42,4,"[3, 1, 6, 7, 5, 1, 1, 1, 5, 9, 4, 9, 7, 1, 6, 1, 1, 3, 3, 1, 3, 1, 4, 1, 1, 1, 1, 5, 1, 3, 1]",3.8372106552124023,0.0891060009598732,1.6978983759848574,32.750919342041016,0.48497632145881653,3,1,6,7,5,1,1,1,5,9,4,9,7,1,6,1,1,3,3,1,3,1,4,1,1,1,1,5,1,3,1
42,2,"[4, 6, 4, 6, 3, 1, 1, 5, 7, 3, 1, 4, 5, 6, 1, 2, 5, 1, 1, 4, 4, 1, 4, 5, 1, 1, 9, 4, 9, 1, 1]",2.4170827865600586,0.07062280923128128,1.6955383907059447,35.748008728027344,0.470365971326828,4,6,4,6,3,1,1,5,7,3,1,4,5,6,1,2,5,1,1,4,4,1,4,5,1,1,9,4,9,1,1
42,2,"[1, 3, 4, 6, 3, 1, 5, 4, 3, 6, 1, 4, 1, 3, 6, 1, 1, 8, 3, 3, 9, 1, 8, 5, 7, 4, 4, 1, 9, 1, 1]",2.310072183609009,0.06936845183372498,1.6955383907059447,35.871734619140625,0.4613560140132904,1,3,4,6,3,1,5,4,3,6,1,4,1,3,6,1,1,8,3,3,9,1,8,5,7,4,4,1,9,1,1
