seed,gen,best_ppf,best_fit,sigma,h_sens_pop,div,stag,n_al_global
42,97,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6506285381935206,1.0,2,64
42,98,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6618572807667804,1.0,3,64
42,99,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6644004700985306,1.0,4,64
42,100,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6515660028236605,1.0,5,64
42,101,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6500201462878108,1.0,6,64
42,102,1.9685698747634888,339.8799133300781,0.04102092981338501,1.647008174247676,1.0,7,64
42,103,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6606354887074692,1.0,8,64
42,104,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6701767232472253,1.0,9,64
42,105,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6732707874038666,1.0,10,64
42,106,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6575227856776122,1.0,11,64
42,107,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6636086731524942,1.0,12,64
42,108,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6584864340201166,1.0,13,64
42,109,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6407242170485283,1.0,14,64
42,110,1.9685698747634888,339.8799133300781,0.04102092981338501,1.629468872660176,1.0,0,64
42,111,1.9685698747634888,339.8799133300781,0.04102092981338501,1.637756370025666,1.0,1,64
42,112,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6502655166912765,1.0,2,64
42,113,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6388149091842166,1.0,3,64
42,114,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6288158624533378,1.0,4,64
42,115,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6233295373743841,1.0,5,64
42,116,1.9685698747634888,339.8799133300781,0.04102092981338501,1.632731055128189,1.0,6,64
