arm,gen,entropy_mode,injection_on,escalation_on,best_ppf,cycle,fitness,H_gauss,H_hist,H_traj,sigma,diversity,rev_rate,n_empires,temperature,stagnation_counter,escalation_round,cap_hits_in_a_row,injected_this_gen,hard_reset_fired,al_candidates_total
A_hist_only,25,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.4537223340040241,0.21388329979879275,5,0.2916322598940292,10,1,0,0,False,170
A_hist_only,26,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.4522312373225152,0.21433062880324544,5,0.2700149347230765,11,1,0,0,False,174
A_hist_only,27,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.44571428571428573,0.21628571428571428,5,0.25,12,1,0,0,False,180
A_hist_only,28,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.4631845841784989,0.2110446247464503,5,0.2314686780718226,13,1,0,0,False,183
A_hist_only,29,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.4172097759674135,0.22483706720977595,5,0.2143109957132682,14,1,0,0,False,190
A_hist_only,30,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.4631416837782341,0.21105749486652975,5,0.19842513149602492,0,2,0,38,False,196
A_hist_only,31,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.5002024291497975,0.19993927125506072,5,0.18371681153444983,1,2,0,0,False,201
A_hist_only,32,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.5132860040567951,0.19601419878296145,5,0.17009875002179714,2,2,0,0,False,206
A_hist_only,33,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.46985596707818933,0.20904320987654318,5,0.15749013123685915,3,2,0,0,False,211
A_hist_only,34,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.4735714285714286,0.2079285714285714,5,0.1458161299470146,4,2,0,0,False,215
A_hist_only,35,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.4164300202839757,0.22507099391480728,5,0.13500746736153826,5,2,0,0,False,221
A_hist_only,36,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.4224137931034483,0.2232758620689655,5,0.125,6,2,0,0,False,225
A_hist_only,37,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.4065173116089614,0.22804480651731157,5,0.11573433903591133,7,2,0,0,False,231
A_hist_only,38,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.3932790224032586,0.2320162932790224,5,0.1071554978566341,8,2,0,0,False,239
A_hist_only,39,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.4194105691056911,0.22417682926829266,5,0.09921256574801249,9,2,0,0,False,248
A_hist_only,40,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.40150905432595574,0.22954728370221328,5,0.09185840576722491,10,2,0,0,False,254
A_hist_only,41,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.39432048681541576,0.23170385395537524,5,0.08504937501089857,11,2,0,0,False,257
A_hist_only,42,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.38724696356275307,0.23382591093117405,5,0.07874506561842956,12,2,0,0,False,261
A_hist_only,43,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.3606060606060606,0.24181818181818182,5,0.0729080649735073,13,2,0,0,False,267
A_hist_only,44,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.38655804480651734,0.23403258655804476,5,0.06750373368076912,14,2,0,0,False,270
A_hist_only,45,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.38836734693877556,0.23348979591836733,5,0.0625,0,3,0,56,False,279
