pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,h_combined,cycle,priority,entropy_mode
"[3, 1, 8, 4, 1, 7, 1, 1, 1, 8, 7, 1, 9, 7, 2, 1, 4, 7, 5, 9, 1, 1, 1, 1, 4, 3, 1, 8, 2, 1, 1]",1.979640007019043,0.08784850686788559,-1.0132029056549072,1.5292482376098633,-166.01889038085938,2.6675164699554443,328.7686462402344,443.0074824381248,combined
"[7, 1, 9, 4, 7, 1, 1, 1, 1, 8, 7, 1, 4, 6, 2, 1, 3, 9, 5, 9, 1, 1, 1, 1, 6, 2, 1, 8, 2, 1, 1]",1.9600193500518799,0.09887485951185226,-0.8949616551399231,1.5058552026748657,-165.4091033935547,2.643428325653076,328.47174072265625,443.0012696449094,combined
"[1, 1, 8, 4, 9, 4, 1, 1, 1, 4, 7, 1, 8, 2, 3, 1, 1, 7, 9, 9, 1, 1, 1, 1, 4, 1, 1, 8, 1, 1, 1]",1.9427998065948486,0.0988471508026123,-0.8952419757843018,1.4992382526397705,-165.54360961914062,2.6267800331115723,326.3154602050781,441.19753937340465,combined
"[1, 1, 3, 2, 9, 9, 1, 8, 1, 7, 1, 1, 9, 6, 5, 1, 7, 8, 3, 2, 5, 1, 1, 1, 5, 1, 1, 3, 7, 1, 1]",1.927006721496582,0.09201761335134506,-0.9668369293212891,1.580928087234497,-164.44619750976562,2.587320327758789,328.423095703125,440.9612593343585,combined
"[1, 1, 9, 7, 3, 4, 1, 7, 1, 4, 7, 1, 7, 7, 2, 1, 8, 9, 6, 5, 8, 1, 1, 1, 3, 1, 1, 7, 8, 1, 1]",1.8468570709228516,0.07909931242465973,-1.118112564086914,1.4847009181976318,-161.14395141601562,2.4052014350891113,337.9140930175781,440.07250706416914,combined
"[1, 1, 8, 4, 8, 9, 1, 6, 1, 8, 7, 1, 6, 7, 2, 1, 9, 7, 6, 9, 1, 1, 1, 1, 5, 2, 1, 7, 2, 1, 1]",1.9918779134750366,0.08603077381849289,-1.0341113805770874,1.5609207153320312,-168.0718994140625,2.5955872535705566,337.1535339355469,439.3396653075925,combined
"[4, 1, 3, 3, 1, 4, 1, 5, 1, 4, 3, 1, 1, 1, 7, 1, 9, 6, 4, 2, 6, 1, 1, 1, 7, 6, 1, 9, 2, 1, 1]",1.8849138021469116,0.09145163744688034,-0.9730064868927002,1.5530318021774292,-163.79559326171875,2.6808955669403076,308.424072265625,438.6684889591873,combined
"[4, 1, 8, 4, 9, 3, 1, 1, 1, 8, 7, 1, 4, 1, 9, 1, 4, 7, 7, 5, 5, 1, 1, 1, 4, 2, 1, 8, 2, 1, 1]",1.9942212104797363,0.10316454619169235,-0.8524916172027588,1.5742162466049194,-166.56033325195312,2.696409225463867,323.76629638671875,437.76787956914995,combined
"[4, 1, 8, 9, 7, 7, 1, 5, 1, 8, 7, 1, 4, 6, 2, 1, 7, 7, 6, 7, 1, 1, 1, 1, 6, 9, 1, 3, 2, 1, 1]",1.9746309518814087,0.07622400671243668,-1.1551406383514404,1.4242602586746216,-162.57810974121094,2.649580240249634,325.1433410644531,436.2804779454219,combined
"[9, 1, 9, 2, 8, 9, 1, 5, 1, 8, 7, 1, 4, 6, 4, 1, 4, 7, 6, 2, 1, 1, 1, 1, 1, 8, 1, 8, 2, 1, 1]",1.9741809368133545,0.08062469959259033,-1.099011778831482,1.5370256900787354,-165.9091033935547,2.728308916091919,314.4078369140625,434.50995510902095,combined
"[7, 1, 9, 4, 2, 9, 1, 1, 1, 9, 7, 1, 4, 8, 2, 1, 4, 8, 5, 9, 5, 1, 1, 1, 8, 4, 1, 8, 2, 1, 1]",1.978630542755127,0.08130418509244919,-1.0906192064285278,1.440501093864441,-162.39114379882812,2.643782615661621,325.0715637207031,434.3499688749754,combined
"[9, 1, 7, 1, 3, 4, 1, 5, 1, 4, 3, 1, 9, 8, 8, 1, 9, 1, 9, 8, 8, 1, 1, 1, 2, 8, 1, 3, 8, 1, 1]",1.912239670753479,0.08149860054254532,-1.088231086730957,1.4533668756484985,-161.5772705078125,2.6622347831726074,311.8445739746094,434.15218830782624,combined
"[4, 1, 8, 8, 3, 3, 1, 1, 1, 8, 7, 1, 7, 2, 7, 1, 8, 7, 6, 2, 1, 1, 1, 1, 4, 1, 1, 8, 2, 1, 1]",1.9787003993988037,0.07654163241386414,-1.1509816646575928,1.4533668756484985,-163.8414764404297,2.576345682144165,333.3045349121094,433.97538386579527,combined
"[7, 1, 4, 8, 8, 8, 1, 2, 1, 8, 3, 1, 3, 5, 2, 1, 4, 6, 1, 1, 6, 1, 1, 1, 2, 6, 1, 6, 7, 1, 1]",1.8854718208312988,0.08879852294921875,-1.0024467706680298,1.4849759340286255,-161.7511749267578,2.620225429534912,310.922119140625,432.08580583938453,combined
"[9, 1, 7, 4, 6, 4, 1, 1, 1, 9, 7, 1, 4, 2, 1, 1, 1, 7, 8, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",1.9615551233291626,0.08412858098745346,-1.056470274925232,1.4931232929229736,-164.56912231445312,2.6232614517211914,321.2784423828125,429.65752707674767,combined
"[3, 1, 3, 4, 5, 9, 1, 9, 1, 4, 7, 1, 4, 2, 4, 1, 4, 7, 8, 5, 1, 1, 1, 1, 6, 5, 1, 1, 6, 1, 1]",1.934321641921997,0.07536919414997101,-1.1664180755615234,1.3265974521636963,-160.34190368652344,2.6524994373321533,313.1620788574219,429.4331359000739,combined
"[1, 1, 8, 4, 8, 3, 1, 1, 1, 8, 7, 1, 4, 2, 6, 1, 1, 7, 5, 5, 1, 1, 1, 1, 2, 2, 1, 8, 2, 1, 1]",1.9444916248321533,0.07573956996202469,-1.1615159511566162,1.394588589668274,-162.50823974609375,2.543339252471924,327.2144775390625,427.98692783626603,combined
"[7, 1, 8, 4, 4, 1, 1, 8, 1, 7, 7, 1, 4, 4, 2, 1, 4, 7, 6, 2, 9, 1, 1, 1, 5, 6, 1, 8, 6, 1, 1]",1.97528076171875,0.08617006242275238,-1.0324939489364624,1.5530318021774292,-165.0281982421875,2.6528024673461914,318.0421447753906,427.1304493016229,combined
"[9, 1, 8, 4, 9, 3, 1, 1, 1, 8, 7, 1, 4, 2, 4, 1, 4, 7, 5, 9, 1, 1, 1, 1, 4, 1, 1, 2, 2, 1, 1]",1.9121804237365723,0.07069503515958786,-1.2304413318634033,1.4597402811050415,-164.8662872314453,2.50992751121521,325.3366394042969,427.0365622794798,combined
