source,seed,ppf_pred,pos_0_type,pos_0_shap,pos_1_type,pos_1_shap,pos_2_type,pos_2_shap,pos_3_type,pos_3_shap,pos_4_type,pos_4_shap,pos_5_type,pos_5_shap,pos_6_type,pos_6_shap,pos_7_type,pos_7_shap,pos_8_type,pos_8_shap,pos_9_type,pos_9_shap,pos_10_type,pos_10_shap,pos_11_type,pos_11_shap,pos_12_type,pos_12_shap,pos_13_type,pos_13_shap,pos_14_type,pos_14_shap,pos_15_type,pos_15_shap,pos_16_type,pos_16_shap,pos_17_type,pos_17_shap,pos_18_type,pos_18_shap,pos_19_type,pos_19_shap,pos_20_type,pos_20_shap,pos_21_type,pos_21_shap,pos_22_type,pos_22_shap,pos_23_type,pos_23_shap,pos_24_type,pos_24_shap,pos_25_type,pos_25_shap,pos_26_type,pos_26_shap,pos_27_type,pos_27_shap,pos_28_type,pos_28_shap,pos_29_type,pos_29_shap,pos_30_type,pos_30_shap
al_candidate,509,4.2026214599609375,7,-0.2264314646911995,2,0.6828079255894002,6,0.24361328404727575,3,0.0,7,0.0,6,0.0,6,0.05198184429349953,2,0.0,2,0.6439184864853645,8,0.0,8,0.0,8,0.0,9,0.0,1,0.0,2,0.0,3,0.0,8,0.0,2,-0.17706279073709094,9,0.0,8,0.0,4,0.0,1,0.0,5,-0.2551918978704113,7,0.0,7,0.0,5,0.06437631691277056,7,0.06383681559774268,7,0.0,9,0.0,3,0.0,5,0.09797895234415989
al_candidate,42,3.465477705001831,6,0.20130395703360301,6,0.5177316916257103,8,-0.12313528997676176,8,0.0,8,0.0,3,0.0,9,0.03293026980659308,6,0.0,7,-0.12248854212960782,8,-0.15849007124261857,1,0.0,3,0.0,8,0.0,9,0.09098819518577833,7,0.0,4,0.0,2,0.0,5,-0.23822313223615985,4,0.0884216228938242,8,0.0,5,0.0,4,0.0,4,0.163645016052044,8,0.0,6,0.0,2,0.0,4,0.0,4,0.0,3,0.0,7,0.0,3,0.0
al_candidate,137,4.223971843719482,3,-0.4558003080268137,5,1.185202121145837,2,0.31210154037300447,5,0.0,2,0.0,8,0.0,5,0.0,5,0.0,8,0.0,4,-0.4021244892884275,5,0.0,7,0.0,1,0.0,4,0.090402497144944,5,0.018710887205628572,4,0.0,8,0.07872584787835413,3,0.0,8,0.0,7,0.0,5,0.21003597596321166,9,0.0,9,0.14649936653543766,3,0.0,4,0.0,2,0.0,4,0.0,5,0.0,2,0.0,1,0.0,6,0.02742441679888004
al_candidate,137,5.113940238952637,3,-0.39830401200266236,5,1.2709924549833187,6,0.18862559077868865,6,0.0,1,0.0,3,0.0,9,0.0,7,0.0,2,0.5691107776465286,5,0.4264008818446812,1,0.0,7,0.0,5,-0.24588606028559826,3,0.0,3,0.0,6,0.0,3,0.10116316126597175,1,0.0,3,0.0,2,0.0,9,0.0,5,0.0,7,0.06310500916812023,9,0.0,8,0.0,3,0.0,2,0.0,8,0.03764189123873705,1,0.0,4,0.0,5,0.08829655632542498
al_candidate,509,5.267494201660156,2,0.3201528146633633,5,1.607960354042875,4,-0.4522648418268484,4,0.0,2,0.0,6,0.0,1,0.0,5,0.12667733086848898,6,0.6986248547218111,1,0.0,1,0.0,7,0.0,4,0.14595623581740014,1,0.0,6,0.0,3,0.0,2,-0.12935966444082486,4,0.09713192846337315,5,-0.22534390846706773,3,0.0,9,0.0,9,0.0,2,0.0,6,0.0,4,0.0,6,0.06516510982815937,7,0.0,8,0.0,9,0.0,9,0.0,6,0.0
al_candidate,137,4.622224807739258,7,-0.3000817378796719,5,1.3931349415130805,3,-0.2106671495423263,4,0.0,3,0.0,4,0.07225648525018524,7,0.0,8,0.0,2,0.6005314948362672,1,0.0,3,0.0,9,0.0,1,0.0,7,0.0,4,0.0,2,0.0,2,-0.10676364804827124,7,0.0,4,0.09427984541541913,1,0.0,7,0.0,9,0.039055238992329676,6,0.0,9,0.0,1,0.0,9,-0.08309007954866955,8,0.0,8,0.0,3,0.0,9,0.0,5,0.11077542876148884
al_candidate,271,5.201274394989014,5,0.5093767657965129,3,-0.5351403123163317,1,0.0,7,0.0,6,0.0,4,0.0,8,0.0,3,0.0,5,1.0307747987111568,5,0.5666698798923117,8,0.0,9,0.0,3,0.0918010303271597,1,0.0,2,0.053247689767630085,5,0.12244533124249493,9,0.0,3,0.0,2,0.0,9,0.0,2,0.0,1,0.0,8,0.1397344117121628,3,0.11047908831620334,5,0.0,2,0.0,9,0.0990917235502869,2,0.0,6,0.0,6,0.0,3,0.0
al_candidate,42,4.948686122894287,1,0.0,6,0.5443914676609704,6,0.2301158649540066,8,0.0,6,0.0,1,0.0,4,0.0,7,0.0,5,1.058952406633247,7,-0.12852173646902987,5,0.0,1,0.0,8,0.02746511216930316,3,0.0,1,0.0,5,0.07832896188444453,7,0.06284414046268735,4,0.10916757306538763,6,-0.11247758761889004,4,0.0,8,0.0,7,0.0,7,0.06562593216273499,1,0.0,5,0.0,7,0.0,2,0.0,3,0.0,9,0.0,8,0.0,9,0.0
al_candidate,271,5.463806629180908,8,-0.35813771798488014,5,1.5853627204714345,2,0.30146933639014445,3,0.0,3,0.0,2,0.0,3,0.0,4,0.0,5,1.1981833341573798,2,0.25615661684121005,9,0.0,1,0.0,6,-0.1922375754879646,2,0.0,3,0.0,9,0.0,7,0.0,8,0.0,5,-0.2607131332792914,2,0.0,3,0.0,9,0.0,7,0.0,5,-0.1630803778476348,9,0.0,7,0.03919596961454497,1,0.0,4,0.0,3,0.0,6,0.0,2,0.044813468316539644
al_candidate,271,5.215994834899902,7,-0.2169613883691021,5,1.658126006847743,6,0.35106361225786903,6,0.0,3,0.0,6,0.0,7,0.09626866409437301,1,0.0,6,0.7255281013859289,8,-0.17106928525775233,4,0.0,1,0.0,3,0.13607548558901836,8,0.0,3,0.0,2,0.0,9,0.0,8,0.0,5,-0.23282162473641796,2,0.0,2,0.0,4,0.07894908497187636,8,0.0,5,-0.22195780987306,5,0.0,2,0.0,2,0.0,8,0.0,5,0.0,7,0.0,1,0.0
