seed,gen,ppf_pred,sigma,h_sens_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
271,2,5.431540489196777,0.1643954664468765,1.7224204213974024,37.07258224487305,2.7705154418945312,5,5,4,5,4,3,3,1,2,1,5,3,4,4,4,3,1,8,3,5,9,1,6,4,5,4,4,4,7,4,1
314,1,3.863008737564087,0.153835266828537,1.736347910378991,34.60468292236328,2.74544620513916,3,5,5,1,6,1,5,4,2,4,4,5,4,1,7,5,5,6,1,4,5,1,1,6,1,1,9,1,1,4,3
2718,1,5.004624843597412,0.191526785492897,1.729824327874098,32.76674270629883,2.724379539489746,1,6,9,1,3,6,3,4,5,5,4,1,4,1,2,5,6,1,1,4,1,1,3,1,1,6,3,1,1,1,4
271,1,5.829986572265625,0.1652671247720718,1.7344811528682678,35.18300247192383,2.615622043609619,5,5,1,3,8,1,5,4,2,4,4,7,8,2,1,4,5,1,4,3,1,1,3,1,6,4,1,3,1,1,1
7,1,5.0449538230896,0.1602483540773391,1.7442575164428895,33.7059326171875,2.5960676670074463,1,1,5,4,3,5,4,3,5,5,8,4,1,5,1,8,4,6,1,1,5,7,4,1,3,1,1,1,7,3,1
88,1,4.241226673126221,0.1442877650260925,1.7247864634711405,35.67053985595703,2.584494113922119,1,2,1,4,1,4,7,4,5,1,4,1,6,5,6,9,2,1,4,4,3,4,4,1,1,3,5,1,7,3,1
42,2,4.101493835449219,0.1288233548402786,1.7120449019615265,32.54413986206055,2.581944465637207,1,5,4,7,4,1,1,1,7,1,4,4,3,7,5,4,1,3,1,6,1,1,4,3,1,1,3,1,4,1,9
509,2,4.663487911224365,0.1280283778905868,1.7180390384032482,36.813358306884766,2.5748555660247803,1,6,1,2,4,4,1,7,5,9,5,9,1,4,1,5,4,1,4,1,1,4,3,4,3,4,1,6,6,2,3
314,2,4.31854248046875,0.1853452920913696,1.7437080727008525,31.96021270751953,2.534897804260254,1,1,9,1,1,2,8,9,5,1,1,3,3,1,5,7,4,4,1,1,5,4,1,4,4,5,1,1,5,1,6
1023,1,5.926082611083984,0.2140768766403198,1.727950983351282,30.48492813110352,2.5320637226104736,5,5,1,3,4,8,1,5,1,7,5,3,4,4,4,3,1,4,1,1,5,1,1,1,4,6,1,1,1,4,1
509,1,4.908658981323242,0.1435327976942062,1.7331331101210403,36.859806060791016,2.5286178588867188,1,5,4,6,6,1,4,3,2,1,3,9,3,6,3,8,7,4,4,6,1,1,4,1,5,1,5,5,1,1,5
7,2,3.9992642402648926,0.1334989070892334,1.7187458598812662,36.184268951416016,2.5128979682922363,7,1,2,4,8,1,1,3,5,4,4,4,1,7,4,5,7,4,1,5,1,1,4,8,4,5,1,1,2,6,1
1023,1,5.330317974090576,0.1897007822990417,1.727950983351282,33.78622817993164,2.5016567707061768,7,5,5,1,1,6,1,6,6,6,3,1,1,4,1,3,1,5,9,1,4,4,3,4,5,1,1,1,4,3,5
509,2,4.1141862869262695,0.1290211379528045,1.7180390384032482,36.14150619506836,2.497734546661377,1,5,5,2,1,1,1,6,3,6,1,8,3,6,1,4,1,1,5,5,5,6,5,1,3,9,1,3,2,1,6
1618,1,4.91670560836792,0.1460749208927154,1.755330173318954,34.882789611816406,2.494406223297119,2,1,1,4,3,4,1,1,6,5,1,7,4,9,2,2,4,1,4,3,8,1,6,4,1,5,1,1,1,1,4
2718,1,5.618667602539063,0.1934439688920974,1.729824327874098,31.25551986694336,2.4721932411193848,6,2,1,1,1,1,3,1,5,1,1,4,1,4,5,5,3,1,3,6,5,1,9,1,4,1,1,5,3,1,4
42,2,4.0623273849487305,0.1272390484809875,1.7120449019615265,32.28862380981445,2.469414710998535,1,1,5,4,1,1,1,3,2,6,3,1,1,1,4,3,1,1,1,1,6,4,5,4,3,1,8,4,4,9,1
314,3,3.472118139266968,0.1355677247047424,1.7301316381340597,35.55268096923828,2.4447638988494877,3,4,1,4,8,1,5,5,6,5,2,3,4,5,5,2,1,8,3,1,1,1,1,1,5,8,3,4,1,4,3
271,2,4.660864353179932,0.1359894424676895,1.7224204213974024,39.3099479675293,2.4262328147888184,6,6,1,1,8,4,8,5,6,5,1,5,3,1,5,3,7,1,1,6,4,4,1,4,4,6,2,2,2,3,3
314,1,4.3411149978637695,0.1455883085727691,1.736347910378991,34.26715469360352,2.421036720275879,1,5,5,4,1,4,5,5,3,1,7,8,4,1,1,4,4,5,2,1,6,1,3,6,3,3,3,1,4,1,5
