source,seed,ppf_pred,shap_base_value,pos_0_type,pos_0_shap,pos_1_type,pos_1_shap,pos_2_type,pos_2_shap,pos_3_type,pos_3_shap,pos_4_type,pos_4_shap,pos_5_type,pos_5_shap,pos_6_type,pos_6_shap,pos_7_type,pos_7_shap,pos_8_type,pos_8_shap,pos_9_type,pos_9_shap,pos_10_type,pos_10_shap,pos_11_type,pos_11_shap,pos_12_type,pos_12_shap,pos_13_type,pos_13_shap,pos_14_type,pos_14_shap,pos_15_type,pos_15_shap,pos_16_type,pos_16_shap,pos_17_type,pos_17_shap,pos_18_type,pos_18_shap,pos_19_type,pos_19_shap,pos_20_type,pos_20_shap,pos_21_type,pos_21_shap,pos_22_type,pos_22_shap,pos_23_type,pos_23_shap,pos_24_type,pos_24_shap,pos_25_type,pos_25_shap,pos_26_type,pos_26_shap,pos_27_type,pos_27_shap,pos_28_type,pos_28_shap,pos_29_type,pos_29_shap,pos_30_type,pos_30_shap
al_candidate,42,4.474656105041504,2.806764779488246,5,0.8466637749493933,5,1.4695340741732552,1,0.0,7,0.0,1,0.0,4,0.0,4,0.0,4,-0.08940604924203707,1,-0.186511286090853,1,0.0,8,0.037646282594465674,9,0.1101585644045353,6,-0.09611339222918695,7,0.0,1,0.0,6,0.0,1,0.0,2,-0.1415658065609349,5,-0.23956242150671397,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,6,0.0,1,0.0,5,0.0,8,0.0,3,0.0,1,0.0,4,-0.04295241493866576
al_candidate,42,4.133457183837891,2.806764779488246,6,0.32307070752414824,6,0.5632611060700631,4,-0.25454852524416505,1,0.0,5,0.0,1,0.0,3,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,3,0.09061318563035536,4,0.0,3,0.0,5,0.18875527426463076,4,0.0,8,0.0,4,0.1060631127459536,4,0.0,4,0.0,3,0.0,4,0.10538544467814584,8,0.04067383822528264,7,0.0,6,0.03472778740656784,4,0.0,1,0.0,1,0.0,1,0.0,5,0.12869047304866196
al_candidate,42,3.9895052909851074,2.806764779488246,4,-0.2263159724045057,5,1.0881594128476355,4,-0.2624765370866609,8,0.0,5,0.0,4,0.0,4,0.0,1,0.0,1,-0.11037621406767638,5,0.6803807027551115,3,0.0,9,0.0,6,-0.092033421950431,7,0.0,1,0.0,6,0.16930913269107867,3,0.0,8,0.06104630940383803,5,-0.16381243798235992,1,0.038859537290831137,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,6,0.0,5,0.0,1,0.0,4,0.0,1,0.0,4,0.0
al_candidate,42,3.59708571434021,2.806764779488246,6,0.46079937311830427,2,0.5998951458028752,1,0.0,5,0.17479327929419627,4,0.0,1,0.0,1,0.0,5,0.09844210850685853,8,-0.4119549020402748,3,-0.21461824347621147,8,0.0,1,0.0,6,0.0,4,0.1011433079625433,5,0.0,1,0.0,4,0.0,4,0.11373410577221438,5,-0.21261265779770303,4,0.0,1,0.0,1,0.0,1,0.0,1,0.0,2,0.0,1,0.0,5,0.0,7,0.0,1,0.0,4,0.0,6,0.08069941770916125
al_candidate,42,4.221034049987793,2.806764779488246,6,0.21091877993660452,6,0.4054187099058723,9,0.0,5,0.00969883260720247,1,0.0,1,0.0,3,0.0,4,0.0,1,0.0,5,0.5349249643406103,1,0.0,1,0.0,8,0.0,4,0.015097948035203061,3,0.0,5,0.01734120961875417,1,0.0,8,0.0,4,0.04236130184286417,4,0.0,4,0.0,3,0.0,4,0.11757793195322942,8,0.0,3,0.0,6,0.009476200173409,4,0.0,1,0.0,4,0.0,1,0.0,5,0.05145339208579717
al_candidate,42,4.444131374359131,2.806764779488246,5,0.7876544969409479,1,0.0,3,0.0,1,0.0,9,0.0,4,0.0,4,0.0,5,0.054653791978674704,6,0.3747968594334011,1,0.020061642908209006,1,0.0,4,0.09194065559396117,1,0.0,3,0.02080688744494095,1,0.0,1,0.02242286753429834,7,0.0,9,0.09013341593626055,7,0.0,3,0.06878100404968109,1,0.0,1,0.0,8,0.10611497305050965,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,5,0.0,1,0.0
al_candidate,42,4.172756671905518,2.806764779488246,1,0.03800736026784615,1,0.0,1,0.0,5,0.11627630012036795,1,0.0,6,0.0,4,0.056429250383159824,7,0.0,5,0.7437844977403433,4,0.0,1,0.0,3,0.0,3,0.0,4,0.08742034989351993,3,0.0,5,0.0949893301499975,1,0.0,9,0.06291650773699241,4,0.0,7,0.0,6,0.02528713108834192,4,0.0,3,0.0,1,0.07889886396575965,1,0.0,1,0.0,6,0.0,3,0.0,4,0.0,1,0.0,5,0.061982301070942575
al_candidate,42,2.277707099914551,2.806764779488246,4,-0.04162936625118955,3,-0.17405685500061985,1,-0.013471402711151909,4,-0.014541400874581556,4,-0.07803631080009969,5,0.0,5,0.0,1,0.0,1,-0.07679415808316939,7,-0.07732786777729077,4,0.0,1,0.0,6,0.0,3,0.0,5,0.0,3,-0.014718823701734586,4,0.0,1,0.0,4,0.0,6,0.0,5,0.0,4,0.0,3,0.0,1,-0.015425260039401027,7,0.0,5,0.0,2,-0.02305623433445704,1,0.0,4,0.0,5,0.0,4,0.0
al_candidate,42,3.9126696586608887,2.806764779488246,6,0.3929577675222291,1,0.0,4,-0.3046324378522464,5,0.10715009200849716,1,0.0,1,0.0,4,0.0,2,0.0,5,0.7835446205200146,4,-0.33888942852587084,4,0.0,3,0.06430233820877485,1,0.0,7,0.04551440676289646,4,0.0,5,0.19959378509052117,1,0.0,1,0.0,1,0.0,6,0.0,6,0.0,4,0.0,3,0.10654964087851433,1,0.0,1,0.0,1,0.0,6,0.0,1,0.0,1,0.0,1,0.0,5,0.04981409455931191
al_candidate,42,4.279016494750977,2.806764779488246,5,0.9005760051026389,1,0.0,3,-0.21083367528385474,4,0.0,1,0.0,1,0.0,4,0.0,5,0.07453235909931978,6,0.39692750926492043,1,0.0,4,0.0,4,0.06386209610095117,1,0.0,2,0.0,5,0.03765963900822685,1,0.0,3,0.0,3,0.06423751251896725,7,0.0,1,0.027155691276744363,1,0.0,1,0.0,8,0.07027646911786291,1,0.0,7,0.0,1,0.0,1,0.0,1,0.0,9,0.0,5,0.04785810905695298,1,0.0
